ingredient,count
글리세린,462
정제수,277
"1,2-헥산다이올",261
부틸렌글라이콜,248
나이아신아마이드,190
소듐하이알루로네이트,177
판테놀,163
아데노신,153
하이드로제네이티드레시틴,153
토코페롤,146
프로판다이올,146
트로메타민,145
잔탄검,141
다이소듐이디티에이,134
카보머,131
다이프로필렌글라이콜,122
펜틸렌글라이콜,117
알란토인,114
베타인,98
카프릴릭/카프릭트라이글리세라이드,89
세라마이드엔피,88
알지닌,87
하이드롤라이즈드하이알루로닉애씨드,82
베타-글루칸,79
시트릭애씨드,79
카프릴릴글라이콜,78
하이알루로닉애씨드,76
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,75
메틸프로판다이올,67
병풀추출물,66
폴리글리세릴-10라우레이트,64
스쿠알란,63
소듐하이알루로네이트크로스폴리머,59
덱스트린,56
트레할로오스,52
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,51
마데카소사이드,50
아시아티코사이드,49
소듐시트레이트,49
다이포타슘글리시리제이트,48
향료,48
콜레스테롤,45
마데카식애씨드,44
아시아틱애씨드,43
하이드록시프로필트라이모늄하이알루로네이트,43
인도멀구슬나무꽃추출물,43
리날룰,42
소듐아세틸레이티드하이알루로네이트,42
인도멀구슬나무잎추출물,42
하이드록시아세토페논,40
리모넨,37
글루타티온,36
소듐폴리아크릴레이트,35
참산호말추출물,35
소듐파이테이트,35
울금뿌리추출물,35
스테아릭애씨드,34
해바라기씨오일,34
홀리바질잎추출물,34
프룩토올리고사카라이드,34
글리세레스-26,34
하이드롤라이즈드소듐하이알루로네이트,33
세테아릴알코올,32
락토바실러스발효물,31
3-O-에틸아스코빅애씨드,30
제라니올,30
아스코빅애씨드,30
글루코오스,30
시트로넬올,30
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,30
세린,29
소듐디엔에이,29
자일리톨,29
폴리글리세릴-10올리에이트,29
하이드록시에틸셀룰로오스,28
글루타믹애씨드,28
다이에톡시에틸석시네이트,27
글리세릴스테아레이트,27
약모밀추출물,26
포타슘하이알루로네이트,26
아세틸헥사펩타이드-8,26
하이드롤라이즈드콜라겐,26
다이메티콘,25
폴리글리세릴-10스테아레이트,25
사이아노코발아민,25
스페인감초뿌리추출물,24
토코페릴아세테이트,24
글라이신,23
황금추출물,23
카퍼트라이펩타이드-1,23
마카다미아씨오일,23
아이비고드열매추출물,23
글루코노락톤,22
