ingredient,count
글리세린,45
정제수,28
부틸렌글라이콜,25
"1,2-헥산다이올",23
토코페롤,20
향료,15
카프릴릭/카프릭트라이글리세라이드,14
아데노신,14
하이드로제네이티드레시틴,12
다이프로필렌글라이콜,12
다이소듐이디티에이,12
리모넨,11
해바라기씨오일,11
펜틸렌글라이콜,11
프로판다이올,10
하이드롤라이즈드하이알루로닉애씨드,10
시트로넬올,10
리날룰,10
소듐하이알루로네이트,10
시트릭애씨드,9
나이아신아마이드,9
소듐시트레이트,9
판테놀,9
병풀추출물,8
베타인,8
제라니올,8
하이알루로닉애씨드,8
스쿠알란,8
로즈마리잎추출물,7
하이드록시아세토페논,7
소듐클로라이드,7
세라마이드엔피,7
자일리톨,6
메틸프로판다이올,6
다이포타슘글리시리제이트,6
카퍼트라이펩타이드-1,6
토코페릴아세테이트,5
알지닌,5
폴리글리세릴-10라우레이트,5
락토바실러스발효용해물,5
레시틴,5
베타-글루칸,5
팔미토일펜타펩타이드-4,5
돌콩오일,5
소듐디엔에이,5
카프릴릴글라이콜,5
트라이에틸헥사노인,5
폴리쿼터늄-51,5
하이드롤라이즈드소듐하이알루로네이트,4
소듐아세틸레이티드하이알루로네이트,4
소듐하이알루로네이트크로스폴리머,4
시트랄,4
젤란검,4
글리세레스-26,4
하이드록시에틸우레아,4
하이드로제네이티드폴리,4
아보카도오일,4
팔미토일트라이펩타이드-1,4
세라마이드이오피,4
드럼스틱씨오일,4
잔탄검,4
세라마이드에이피,4
솔비톨,4
안하이드로자일리톨,4
자일리틸글루코사이드,4
레몬밤잎추출물,4
인도멀구슬나무잎추출물,4
카보머,4
울금뿌리추출물,4
세테아릴알코올,3
프룩탄,3
세라마이드엔에스,3
피피지-13-데실테트라데세스-24,3
오일팜오일,3
캐모마일꽃추출물,3
네오펜틸글라이콜다이헵타노에이트,3
유칼립투스잎추출물,3
말토덱스트린,3
세라마이드에이에스,3
트레할로오스,3
오레가노잎추출물,3
락토바실러스발효물,3
페퍼민트잎추출물,3
사이아노코발아민,3
귀리커넬추출물,3
에탄올,3
약모밀추출물,3
비피다발효용해물,3
흰서양송로추출물,3
콜레스테롤,3
헥실신남알,3
쇠비름추출물,3
트라이펩타이드-1,3
알란토인,3
하이드록시프로필트라이모늄하이알루로네이트,3
"1,2-헥산디올",3
페녹시에탄올,3
글루코노락톤,3
센티드제라늄꽃오일,3
레몬버베나잎추출물,3
셀룰로오스검,3
동백나무씨오일,3
아세틸테트라펩타이드-9,3
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,3
사과즙,3
소듐피씨에이,3
비타민나무오일,3
글루코오스,3
프룩토올리고사카라이드,3
스트렙토코쿠스 테르모필루스발효물,3
온천수,3
팔미토일트라이펩타이드-5,3
노나펩타이드-1,3
카르노신,3
아세틸테트라펩타이드-5,3
아세틸헥사펩타이드-8,3
에델바이스추출물,2
스노우로투스추출물,2
헥사펩타이드-9,2
트로메타민,2
캐스터오일/아이피디아이코폴리머,2
지치뿌리추출물,2
스위트아몬드오일,2
석류추출물,2
유럽개암씨오일,2
다마스크장미꽃추출물,2
스테아릭애씨드,2
당근추출물,2
카카오씨추출물,2
티트리잎오일,2
베타-카로틴,2
유차나무씨오일,2
서양톱풀추출물,2
인삼추출물,2
다이카프릴릴에터,2
글리세린-3,2
세틸에틸헥사노에이트,2
에스신,2
뽕나무껍질추출물,2
마돈나백합꽃추출물,2
글리세릴스테아레이트,2
소듐폴리아크릴레이트,2
녹차추출물,2
코코-카프릴레이트/카프레이트,2
아나토씨오일,2
포타슘솔베이트,2
데이지꽃추출물,2
퀸즈랜드넛오일,2
프리지어추출물,2
"2,3-부탄다이올",2
로즈힙열매오일,2
참산호말추출물,2
칼슘클로라이드,2
연꽃꽃추출물,2
하이드롤라이즈드콜라겐,2
콜라겐,2
포타슘클로라이드,2
소듐바이카보네이트,2
다이소듐포스페이트,2
마그네슘설페이트,2
병풀잎추출물,2
아스코빅애씨드폴리펩타이드,2
글리세릴카프릴레이트,2
아시아티코사이드,2
마데카소사이드,2
사탕수수추출물,2
트라이라우레스-4포스페이트,2
소듐파이테이트,2
베타-시토스테롤,2
포타슘하이알루로네이트,2
아세틸옥타펩타이드-3,2
홀리바질잎추출물,2
솔비탄세스퀴올리에이트,2
해수,2
가지열매추출물,2
소듐스테아로일글루타메이트,2
알바수련꽃추출물,2
아이비고드열매추출물,2
레몬밤추출물,2
인도멀구슬나무꽃추출물,2
피이지-60하이드로제네이티드캐스터오일,2
아세틸테트라펩타이드-2,2
소듐포스페이트,2
서양민들레잎추출물,2
글루타티온,2
마트리카리아꽃추출물,2
칼슘락테이트,2
메도우폼씨오일,2
아세틸테트라펩타이드-3,2
호박가루,2
멕시칸치아씨추출물,2
아르간커넬오일,2
소듐팔미토일프롤린,2
자주천인국추출물,2
어성초추출물,2
포트마리골드꽃추출물,2
녹차수,2
참마뿌리추출물,2
호호바씨오일,2
한련초추출물,2
카프릴릴/카프릴글루코사이드,2
글라이코실트레할로오스,2
라벤더꽃추출물,2
무화과추출물,2
락토바실러스/콩발효추출물,2
하이드로제네이티드스타치하이드롤리세이트,2
바이오사카라이드검-1,2
카프릴릭/카프릭트리글리세라이드,2
디프로필렌글라이콜,2
하이드록시시트로넬알,2
인카르나타시계꽃전초추출물,2
회향잎추출물,2
진주추출물,2
센티드제라늄추출물,2
보리지추출물,2
살비아잎추출물,2
폴리글리세릴-10미리스테이트,2
바오밥나무씨추출물,2
프로폴리스추출물,2
바질꽃/잎/줄기추출물,2
폴리글리세릴-3다이아이소스테아레이트,2
보리지씨오일,2
월계수잎추출물,2
마시멜로잎추출물,2
아스코빅애씨드,2
효모/감자추출물발효여과물,2
디소듐이디티에이,2
팔미토일헥사펩타이드-12,1
판토락톤,1
하이드록시페닐프로파미도벤조익애씨드,1
락토바이오닉애씨드,1
올리고펩타이드-1,1
펜타펩타이드-3,1
아르니카 몬타나꽃추출물,1
다이메티콘,1
에스에이치-올리고펩타이드-1,1
포스페이트버퍼드셀라인,1
아스코빌팔미테이트,1
아세틸글루타민,1
다이페닐다이메티콘,1
아가,1
돌콩추출물,1
다이포타슘포스페이트,1
백미꽃추출물,1
알로에베라꽃추출물,1
접시꽃추출물,1
하이드롤라이즈드엘라스틴,1
유럽밤나무씨추출물,1
사과씨오일,1
팔미토일테트라펩타이드-7,1
흑효모발효물,1
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,1
옥탄다이올,1
다이펩타이드-15,1
연어알추출물,1
산양삼추출물,1
올리고펩타이드-2,1
콜라겐수,1
프로테아제,1
수크로오스,1
황해쑥잎수,1
소듐메타포스페이트,1
미네랄솔트,1
이눌린라우릴카바메이트,1
포도즙추출물,1
하이드롤라이즈드옥수수전분,1
살리실릭애씨드,1
황해쑥잎추출물,1
병풀꽃/잎/줄기추출물,1
빙하수,1
바이오사카라이드검-4,1
알진,1
양까막까치밥나무열매추출물,1
바오밥나무씨오일,1
폴리글루쿠로닉애씨드,1
아이소프로필미리스테이트,1
페닐트라이메티콘,1
세테아릴글루코사이드,1
트라이에틸시트레이트,1
솔비탄스테아레이트,1
옥수수커넬추출물,1
알칸나뿌리추출물,1
만주자작나무껍질/잎추출물,1
피마자씨오일,1
레몬그라스잎오일,1
스타아니스열매/씨오일,1
