ingredient,product_count,cat_미스트/오일,ratio_미스트/오일
정제수,28,28,1.0
글리세린,26,26,1.0
부틸렌글라이콜,25,25,1.0
"1,2-헥산다이올",23,23,1.0
토코페롤,20,20,1.0
향료,15,15,1.0
아데노신,14,14,1.0
카프릴릭/카프릭트라이글리세라이드,14,14,1.0
다이프로필렌글라이콜,12,12,1.0
다이소듐이디티에이,12,12,1.0
하이드로제네이티드레시틴,12,12,1.0
리모넨,11,11,1.0
펜틸렌글라이콜,11,11,1.0
해바라기씨오일,11,11,1.0
시트로넬올,10,10,1.0
하이드롤라이즈드하이알루로닉애씨드,10,10,1.0
소듐하이알루로네이트,10,10,1.0
프로판다이올,10,10,1.0
리날룰,9,9,1.0
판테놀,9,9,1.0
소듐시트레이트,9,9,1.0
시트릭애씨드,9,9,1.0
나이아신아마이드,9,9,1.0
스쿠알란,8,8,1.0
제라니올,8,8,1.0
베타인,8,8,1.0
병풀추출물,8,8,1.0
하이알루로닉애씨드,8,8,1.0
하이드록시아세토페논,7,7,1.0
로즈마리잎추출물,7,7,1.0
세라마이드엔피,7,7,1.0
소듐클로라이드,7,7,1.0
자일리톨,6,6,1.0
메틸프로판다이올,6,6,1.0
카퍼트라이펩타이드-1,6,6,1.0
다이포타슘글리시리제이트,6,6,1.0
폴리글리세릴-10라우레이트,5,5,1.0
돌콩오일,5,5,1.0
소듐디엔에이,5,5,1.0
락토바실러스발효용해물,5,5,1.0
알지닌,5,5,1.0
레시틴,5,5,1.0
팔미토일펜타펩타이드-4,5,5,1.0
베타-글루칸,5,5,1.0
토코페릴아세테이트,5,5,1.0
카프릴릴글라이콜,5,5,1.0
트라이에틸헥사노인,5,5,1.0
폴리쿼터늄-51,5,5,1.0
카보머,4,4,1.0
인도멀구슬나무잎추출물,4,4,1.0
아보카도오일,4,4,1.0
소듐아세틸레이티드하이알루로네이트,4,4,1.0
하이드록시에틸우레아,4,4,1.0
하이드롤라이즈드소듐하이알루로네이트,4,4,1.0
소듐하이알루로네이트크로스폴리머,4,4,1.0
글리세레스-26,4,4,1.0
하이드로제네이티드폴리,4,4,1.0
드럼스틱씨오일,4,4,1.0
젤란검,4,4,1.0
레몬밤잎추출물,4,4,1.0
팔미토일트라이펩타이드-1,4,4,1.0
자일리틸글루코사이드,4,4,1.0
솔비톨,4,4,1.0
세라마이드이오피,4,4,1.0
안하이드로자일리톨,4,4,1.0
잔탄검,4,4,1.0
울금뿌리추출물,4,4,1.0
세라마이드에이피,4,4,1.0
사이아노코발아민,3,3,1.0
오레가노잎추출물,3,3,1.0
유칼립투스잎추출물,3,3,1.0
말토덱스트린,3,3,1.0
피피지-13-데실테트라데세스-24,3,3,1.0
셀룰로오스검,3,3,1.0
캐모마일꽃추출물,3,3,1.0
오일팜오일,3,3,1.0
락토바실러스발효물,3,3,1.0
트레할로오스,3,3,1.0
쇠비름추출물,3,3,1.0
에탄올,3,3,1.0
페녹시에탄올,3,3,1.0
세라마이드에이에스,3,3,1.0
알란토인,3,3,1.0
네오펜틸글라이콜다이헵타노에이트,3,3,1.0
콜레스테롤,3,3,1.0
세테아릴알코올,3,3,1.0
세라마이드엔에스,3,3,1.0
센티드제라늄꽃오일,3,3,1.0
트라이펩타이드-1,3,3,1.0
"1,2-헥산디올",3,3,1.0
헥실신남알,3,3,1.0
약모밀추출물,3,3,1.0
페퍼민트잎추출물,3,3,1.0
하이드록시프로필트라이모늄하이알루로네이트,3,3,1.0
비피다발효용해물,3,3,1.0
흰서양송로추출물,3,3,1.0
레몬버베나잎추출물,3,3,1.0
귀리커넬추출물,3,3,1.0
프룩탄,3,3,1.0
아세틸테트라펩타이드-5,3,3,1.0
프룩토올리고사카라이드,3,3,1.0
글루코오스,3,3,1.0
소듐피씨에이,3,3,1.0
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,3,3,1.0
사과즙,3,3,1.0
비타민나무오일,3,3,1.0
시트랄,3,3,1.0
스트렙토코쿠스 테르모필루스발효물,3,3,1.0
팔미토일트라이펩타이드-5,3,3,1.0
노나펩타이드-1,3,3,1.0
카르노신,3,3,1.0
아세틸테트라펩타이드-9,3,3,1.0
동백나무씨오일,3,3,1.0
아세틸헥사펩타이드-8,3,3,1.0
소듐바이카보네이트,2,2,1.0
헥사펩타이드-9,2,2,1.0
에스신,2,2,1.0
녹차추출물,2,2,1.0
소듐폴리아크릴레이트,2,2,1.0
베타-시토스테롤,2,2,1.0
글리세린-3,2,2,1.0
글루코노락톤,2,2,1.0
트로메타민,2,2,1.0
포타슘솔베이트,2,2,1.0
캐스터오일/아이피디아이코폴리머,2,2,1.0
폴리글리세릴-10미리스테이트,2,2,1.0
글리세릴카프릴레이트,2,2,1.0
로즈힙열매오일,2,2,1.0
프로폴리스추출물,2,2,1.0
당근추출물,2,2,1.0
카카오씨추출물,2,2,1.0
아나토씨오일,2,2,1.0
데이지꽃추출물,2,2,1.0
베타-카로틴,2,2,1.0
코코-카프릴레이트/카프레이트,2,2,1.0
알바수련꽃추출물,2,2,1.0
유차나무씨오일,2,2,1.0
유럽개암씨오일,2,2,1.0
스위트아몬드오일,2,2,1.0
석류추출물,2,2,1.0
다이카프릴릴에터,2,2,1.0
지치뿌리추출물,2,2,1.0
서양톱풀추출물,2,2,1.0
인삼추출물,2,2,1.0
세틸에틸헥사노에이트,2,2,1.0
뽕나무껍질추출물,2,2,1.0
마돈나백합꽃추출물,2,2,1.0
에델바이스추출물,2,2,1.0
퀸즈랜드넛오일,2,2,1.0
프리지어추출물,2,2,1.0
티트리잎오일,2,2,1.0
마데카소사이드,2,2,1.0
포타슘클로라이드,2,2,1.0
사탕수수추출물,2,2,1.0
아시아티코사이드,2,2,1.0
병풀잎추출물,2,2,1.0
칼슘락테이트,2,2,1.0
칼슘클로라이드,2,2,1.0
마그네슘설페이트,2,2,1.0
다이소듐포스페이트,2,2,1.0
아세틸테트라펩타이드-3,2,2,1.0
아세틸테트라펩타이드-2,2,2,1.0
아세틸옥타펩타이드-3,2,2,1.0
아스코빅애씨드폴리펩타이드,2,2,1.0
포타슘하이알루로네이트,2,2,1.0
메도우폼씨오일,2,2,1.0
하이드롤라이즈드콜라겐,2,2,1.0
콜라겐,2,2,1.0
연꽃꽃추출물,2,2,1.0
마트리카리아꽃추출물,2,2,1.0
글루타티온,2,2,1.0
"2,3-부탄다이올",2,2,1.0
소듐포스페이트,2,2,1.0
글리세릴스테아레이트,2,2,1.0
참산호말추출물,2,2,1.0
홀리바질잎추출물,2,2,1.0
해수,2,2,1.0
가지열매추출물,2,2,1.0
소듐스테아로일글루타메이트,2,2,1.0
소듐팔미토일프롤린,2,2,1.0
레몬밤추출물,2,2,1.0
아이비고드열매추출물,2,2,1.0
인도멀구슬나무꽃추출물,2,2,1.0
소듐파이테이트,2,2,1.0
솔비탄세스퀴올리에이트,2,2,1.0
트라이라우레스-4포스페이트,2,2,1.0
피이지-60하이드로제네이티드캐스터오일,2,2,1.0
서양민들레잎추출물,2,2,1.0
호박가루,2,2,1.0
스테아릭애씨드,2,2,1.0
아르간커넬오일,2,2,1.0
센티드제라늄추출물,2,2,1.0
월계수잎추출물,2,2,1.0
인카르나타시계꽃전초추출물,2,2,1.0
자주천인국추출물,2,2,1.0
포트마리골드꽃추출물,2,2,1.0
한련초추출물,2,2,1.0
회향잎추출물,2,2,1.0
녹차수,2,2,1.0
라벤더꽃추출물,2,2,1.0
무화과추출물,2,2,1.0
호호바씨오일,2,2,1.0
카프릴릴/카프릴글루코사이드,2,2,1.0
온천수,2,2,1.0
카프릴릭/카프릭트리글리세라이드,2,2,1.0
디프로필렌글라이콜,2,2,1.0
하이드로제네이티드스타치하이드롤리세이트,2,2,1.0
하이드록시시트로넬알,2,2,1.0
바이오사카라이드검-1,2,2,1.0
락토바실러스/콩발효추출물,2,2,1.0
효모/감자추출물발효여과물,2,2,1.0
참마뿌리추출물,2,2,1.0
글라이코실트레할로오스,2,2,1.0
어성초추출물,2,2,1.0
멕시칸치아씨추출물,2,2,1.0
디소듐이디티에이,2,2,1.0
아스코빅애씨드,2,2,1.0
마시멜로잎추출물,2,2,1.0
폴리글리세릴-3다이아이소스테아레이트,2,2,1.0
바오밥나무씨추출물,2,2,1.0
다마스크장미꽃추출물,2,2,1.0
진주추출물,2,2,1.0
보리지추출물,2,2,1.0
살비아잎추출물,2,2,1.0
보리지씨오일,2,2,1.0
바질꽃/잎/줄기추출물,2,2,1.0
참당귀뿌리추출물,1,1,1.0
올리고펩타이드-1,1,1,1.0
양까막까치밥나무열매추출물,1,1,1.0
다이페닐다이메티콘,1,1,1.0
다이메티콘,1,1,1.0
글루코놀락톤,1,1,1.0
락토바이오닉애씨드,1,1,1.0
에스에이치-올리고펩타이드-1,1,1,1.0
판토락톤,1,1,1.0
아스코빌팔미테이트,1,1,1.0
알파-글루칸올리고사카라이드,1,1,1.0
하이드록시페닐프로파미도벤조익애씨드,1,1,1.0
백미꽃추출물,1,1,1.0
올리고펩타이드-2,1,1,1.0
돌콩추출물,1,1,1.0
아르니카 몬타나꽃추출물,1,1,1.0
알로에베라꽃추출물,1,1,1.0
접시꽃추출물,1,1,1.0
유럽밤나무씨추출물,1,1,1.0
사과씨오일,1,1,1.0
흑효모발효물,1,1,1.0
펜타펩타이드-3,1,1,1.0
다이펩타이드-15,1,1,1.0
팔미토일헥사펩타이드-12,1,1,1.0
