product_id,category,brand,product_name,ingredient,product_rating
S1,스킨/토너,아누아,어성초 77 히알루론 수분 진정 토너 더블,"약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트, 약모밀소포, 하이드롤라이즈드소듐하이알루로네이트, 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트, 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트",4.8
S200,스킨/토너,피지오겔,DMT 포맨 에센셜 토너,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 펜타에리스리틸테트라에틸헥사노에이트, 헥실데실에틸헥사노에이트, 변성알코올, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 알지닌, 피토스테롤, 세린, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이메티콘, 사이클로펜타실록세인, 소듐하이알루로네이트, 소듐피씨에이, 하이드록시에틸우레아, 트로메타민, 트라이소듐이디티에이",4.9
S201,스킨/토너,달팡,인트랄 데일리 미셀러 토너,"정제수,글리세레스-26,부틸렌글라이콜,비스-피이지-18메틸에터다이메틸실레인,노니열매즙,센타우리추출물,모란뿌리추출물,모노기나산사꽃추출물,마트리카리아추출물,판테놀,알테로모나스발효추출물,락토바실러스발효물,효모용해추출물,소듐하이알루로네이트,글리세린,트레할로오스,토코페릴아세테이트,카프릴릴글라이콜,피피지-26-부테스-26,폴리글리세릴-4카프레이트,피피지-6-데실테트라데세스-30,피이지-40하이드로제네이티드캐스터오일,시트릭애씨드,소듐하이드록사이드,향료,비에이치티,다이소듐이디티에이,포타슘솔베이트,소듐벤조에이트,페녹시에탄올",4.7
S202,스킨/토너,닥터지,에이클리어 밸런싱 토너,"정제수, 펜틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 글리세레스-26, 에톡시다이글라이콜, 석시닉애씨드, 판테놀, 트로메타민, 락토바실러스발효물, 다이소듐이디티에이, 부틸렌글라이콜, 엑토인, 락토바이오닉애씨드, 만델릭애씨드, 카프릴로일살리실릭애씨드, 병풀추출물, 약모밀추출물, 워터민트추출물, 애플민트잎추출물, 스피어민트추출물, 아시아틱애씨드, 아시아티코사이드, 마데카식애씨드, 마데카소사이드",4.8
S203,스킨/토너,비오템,비오수르스 중복합성 토너,정제수 부틸렌글라이콜 변성알코올 글리세린 피피지-6-데실테트라데세스-30 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 징크글루코네이트 글라이신 메치오닌 소듐시트레이트 소듐석시네이트 알지닌 세린 만노오스 디소듐이디티에이 하이드롤라이즈드밀단백질 비트레오실라발효물 시트릭애씨드 시트룰린 락토바실러스발효물 토코페롤 포타슘소르베이트 소듐데하이드로아세테이트 페녹시에탄올 클로페네신 향료 리날룰 제라니올 알파-이소메칠이오논 하이드록시시트로넬알 시트로넬올 부틸페닐메칠프로피오날 벤질알코올 벤질살리실레이트,5.0
S205,스킨/토너,닥터하스킨,미라클아토 하이드로 토너,"정제수,라벤더꽃수,부틸렌글라이콜,1,2-헥산다이올,글리세린,소듐아크릴릭애씨드/엠에이코폴리머,에리스리톨, 카프릴릭/카프릭트라이글리세라이드,폴리솔베이트20,하이드로제네이티드레시틴, 피토스테릴/옥틸도데실라우로일글루타메이트,라벤더오일,카프릴릴글라이콜, 세라마이드엔피,알란토인,오렌지껍질오일,편백오일,하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트,소듐아세틸레이티드하이알루로네이트",4.9
S206,스킨/토너,트러블레스,마일드 클리어 토너 에센스,"정제수, 다이프로필렌글라이콜, 메틸프로판다이올, 글리세린, 티트리잎수, 판테놀, 글루코노락톤, 4-터피네올, 흰버드나무껍질추출물, 브루셀스프라우트추출물, 브로콜리추출물, 매실추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 알란토인, 베타-글루칸, 하이드록시아세토페논, 피피지-13-데실테트라데세스-24, 카프릴릴글라이콜, 하이드록시에틸셀룰로오스, 다이소듐이디티에이, 소듐시트레이트, 부틸렌글라이콜, 다이포타슘글리시리제이트, 1,2-헥산다이올, 사과추출물, 파파야열매추출물, 포도추출물, 펜틸렌글라이콜, 토코페롤, 에틸헥실글리세린",5.0
S207,스킨/토너,프랭클리,시카 80 히알루론산 토너,"병풀추출물(80%), 정제수, 1,2-헥산다이올, 메틸프로판다이올, 베타인, 소듐하이알루로네이트(100ppm), 알란토인, 글리세린, 병풀잎추출물, 병풀뿌리추출물, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 아시아틱애씨드, 아시아티코사이드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 마데카식애씨드, 마데카소사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",4.8
S208,스킨/토너,헤라,옴므 파워부스팅 토너,"정제수, 변성알코올, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 비스-피이지-18메틸에터다이메틸실레인, 1,2-헥산다이올, 판테놀, 피이지-60하이드로제네이티드캐스터오일, 옥틸도데세스-16, 향료, 카보머, 에틸헥실글리세린, 트로메타민, 아데노신, 다이소듐이디티에이, 리모넨, 트레할로오스, 카페인, 락토바실러스발효용해물, 리날룰, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 시트랄, 알파-아이소메틸아이오논, 살리실릭애씨드, 프로판다이올, 글라이콜릭애씨드, 토코페롤, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",5.0
S209,스킨/토너,크리니크,모이스춰 써지 하이드로 인퓨즈드 로션,"정제수,비스-피이지-18메틸에터다이메틸실레인,글리세린,부틸렌글라이콜,펜틸렌글라이콜,밤부사 불가리스추출물,완두콩전초추출물,보리추출물,밀배아추출물,겔리디엘라 아세로사추출물,제주진득찰추출물,카페인,갈고리가시우무추출물,수크로오스,락토바실러스발효물,팔미토일헥사펩타이드-12,에르고티오네인,아세틸글루코사민,트레할로오스,스쿠알란,글리세릴폴리메타크릴레이트,소듐하이알루로네이트,호호바에스터,소듐피씨에이,우레아,피이지-32,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,글루코사민에이치씨엘,카프릴릴글라이콜,피이지-6,피이지-8,폴리솔베이트20,세틸알코올,스테아릭애씨드,글리세릴스테아레이트,시트릭애씨드,소듐하이드록사이드,헥실렌글라이콜,폴리쿼터늄-51,다이소듐이디티에이,포타슘솔베이트,클로페네신,페녹시에탄올 [iln44077]* 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",4.8
