ingredient,count
1,257
글리세린,255
2-헥산다이올,252
부틸렌글라이콜,241
정제수,225
에틸헥실글리세린,185
나이아신아마이드,166
판테놀,153
소듐하이알루로네이트,153
아데노신,149
하이드로제네이티드레시틴,149
트로메타민,144
프로판다이올,143
잔탄검,138
토코페롤,136
다이소듐이디티에이,131
카보머,131
다이프로필렌글라이콜,117
펜틸렌글라이콜,115
알란토인,114
베타인,97
카프릴릭/카프릭트라이글리세라이드,85
세라마이드엔피,85
알지닌,81
카프릴릴글라이콜,77
베타-글루칸,76
시트릭애씨드,76
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,71
메틸프로판다이올,67
하이드롤라이즈드하이알루로닉애씨드,65
폴리글리세릴-10라우레이트,63
하이알루로닉애씨드,63
스쿠알란,62
병풀추출물,55
덱스트린,54
트레할로오스,52
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,49
향료,48
다이포타슘글리시리제이트,47
소듐하이알루로네이트크로스폴리머,46
소듐시트레이트,46
콜레스테롤,44
마데카소사이드,44
인도멀구슬나무꽃추출물,43
인도멀구슬나무잎추출물,42
하이드록시아세토페논,40
아시아티코사이드,38
리모넨,36
소듐폴리아크릴레이트,35
참산호말추출물,35
소듐파이테이트,35
리날룰,35
울금뿌리추출물,34
글리세레스-26,34
스테아릭애씨드,34
글루타티온,33
프룩토올리고사카라이드,33
해바라기씨오일,33
소듐아세틸레이티드하이알루로네이트,33
아시아틱애씨드,33
홀리바질잎추출물,33
세테아릴알코올,32
마데카식애씨드,31
하이드록시프로필트라이모늄하이알루로네이트,31
락토바실러스발효물,31
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,30
글루코오스,30
자일리톨,29
세린,29
폴리글리세릴-10올리에이트,28
하이드록시에틸셀룰로오스,28
제라니올,27
하이드롤라이즈드소듐하이알루로네이트,27
3-O-에틸아스코빅애씨드,26
글리세릴스테아레이트,26
다이메티콘,25
글루타믹애씨드,25
다이에톡시에틸석시네이트,25
시트로넬올,25
토코페릴아세테이트,24
폴리글리세릴-10스테아레이트,24
아이비고드열매추출물,23
황금추출물,23
글라이신,23
마카다미아씨오일,23
사이아노코발아민,23
스페인감초뿌리추출물,23
소듐폴리아크릴로일다이메틸타우레이트,22
메틸글루세스-20,22
변성알코올,22
폴리글리세린-3,22
아세틸헥사펩타이드-8,22
소듐디엔에이,22
포타슘하이알루로네이트,22
실리카,22
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,22
글루코노락톤,22
시어버터,21
약모밀추출물,21
카프릴릴/카프릴글루코사이드,21
팔미토일트라이펩타이드-1,20
하이드롤라이즈드콜라겐,20
솔비탄아이소스테아레이트,20
페룰릭애씨드,20
카카오추출물,19
시트랄,19
카퍼트라이펩타이드-1,19
아스코빅애씨드,19
레시틴,19
가지열매추출물,19
옥틸도데칸올,19
호호바씨오일,19
폴리글리세릴-3메틸글루코오스다이스테아레이트,19
폴리아크릴레이트크로스폴리머-6,19
팔미토일테트라펩타이드-7,19
글리세릴카프릴레이트,18
라벤더오일,18
올리브오일,18
하이드로제네이티드폴리아이소부텐,18
녹차추출물,18
트라이에틸헥사노인,18
피브이엠/엠에이코폴리머,18
카페인,18
하이드롤라이즈드글라이코사미노글리칸,17
돌콩오일,17
팔미틱애씨드,17
2,17
000ppm),17
프룩토오스,17
클로렐라 불가리스추출물,17
팔미토일트라이펩타이드-5,17
히스티딘,17
소듐스테아로일글루타메이트,16
세테아릴올리베이트,16
프롤린,16
살리실릭애씨드,16
세틸에틸헥사노에이트,16
팔미토일펜타펩타이드-4,16
폴리솔베이트20,16
만니톨,16
솔비탄올리베이트,16
병풀잎추출물,16
베르가모트오일,16
락틱애씨드,15
폴리쿼터늄-51,15
메틸트라이메티콘,15
다이소듐포스페이트,15
벤질글라이콜,15
베헤닐알코올,15
바이오사카라이드검-1,15
소듐아스코빌포스페이트,15
아이소펜틸다이올,15
소듐클로라이드,15
락토바실러스/콩발효추출물,15
알라닌,15
아이리쉬모스추출물,15
치자추출물,14
아스파틱애씨드,14
폴리메틸실세스퀴옥세인,14
말토덱스트린,14
트레오닌,14
바이오틴,14
엑토인,14
