ingredient,product_count,cat_에센스/세럼/앰플,ratio_에센스/세럼/앰플
정제수,247,247,1.0
글리세린,242,242,1.0
"1,2-헥산다이올",232,232,1.0
부틸렌글라이콜,223,223,1.0
나이아신아마이드,171,171,1.0
소듐하이알루로네이트,163,163,1.0
판테놀,147,147,1.0
하이드로제네이티드레시틴,138,138,1.0
프로판다이올,137,137,1.0
토코페롤,136,136,1.0
트로메타민,133,133,1.0
아데노신,132,132,1.0
잔탄검,132,132,1.0
다이소듐이디티에이,129,129,1.0
카보머,121,121,1.0
다이프로필렌글라이콜,114,114,1.0
펜틸렌글라이콜,111,111,1.0
알란토인,110,110,1.0
베타인,90,90,1.0
세라마이드엔피,82,82,1.0
카프릴릭/카프릭트라이글리세라이드,79,79,1.0
알지닌,78,78,1.0
베타-글루칸,76,76,1.0
시트릭애씨드,76,76,1.0
하이드롤라이즈드하이알루로닉애씨드,73,73,1.0
카프릴릴글라이콜,70,70,1.0
하이알루로닉애씨드,68,68,1.0
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,67,67,1.0
메틸프로판다이올,62,62,1.0
병풀추출물,61,61,1.0
폴리글리세릴-10라우레이트,61,61,1.0
스쿠알란,57,57,1.0
덱스트린,56,56,1.0
소듐하이알루로네이트크로스폴리머,52,52,1.0
마데카소사이드,49,49,1.0
소듐시트레이트,48,48,1.0
트레할로오스,48,48,1.0
다이포타슘글리시리제이트,47,47,1.0
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,47,47,1.0
아시아티코사이드,46,46,1.0
콜레스테롤,43,43,1.0
향료,43,43,1.0
아시아틱애씨드,40,40,1.0
인도멀구슬나무꽃추출물,40,40,1.0
인도멀구슬나무잎추출물,40,40,1.0
마데카식애씨드,40,40,1.0
하이드록시아세토페논,38,38,1.0
하이드록시프로필트라이모늄하이알루로네이트,38,38,1.0
소듐아세틸레이티드하이알루로네이트,38,38,1.0
소듐폴리아크릴레이트,34,34,1.0
소듐파이테이트,34,34,1.0
울금뿌리추출물,33,33,1.0
해바라기씨오일,33,33,1.0
글루타티온,33,33,1.0
참산호말추출물,33,33,1.0
글리세레스-26,32,32,1.0
리날룰,32,32,1.0
홀리바질잎추출물,31,31,1.0
세테아릴알코올,30,30,1.0
3-O-에틸아스코빅애씨드,30,30,1.0
프룩토올리고사카라이드,30,30,1.0
글루코오스,29,29,1.0
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,29,29,1.0
스테아릭애씨드,29,29,1.0
폴리글리세릴-10올리에이트,29,29,1.0
하이드롤라이즈드소듐하이알루로네이트,29,29,1.0
리모넨,29,29,1.0
자일리톨,29,29,1.0
하이드록시에틸셀룰로오스,28,28,1.0
락토바실러스발효물,28,28,1.0
다이에톡시에틸석시네이트,27,27,1.0
아스코빅애씨드,26,26,1.0
소듐디엔에이,26,26,1.0
세린,25,25,1.0
폴리글리세릴-10스테아레이트,25,25,1.0
글루타믹애씨드,24,24,1.0
토코페릴아세테이트,24,24,1.0
포타슘하이알루로네이트,24,24,1.0
약모밀추출물,24,24,1.0
아세틸헥사펩타이드-8,23,23,1.0
하이드롤라이즈드콜라겐,23,23,1.0
스페인감초뿌리추출물,23,23,1.0
글리세릴스테아레이트,23,23,1.0
황금추출물,22,22,1.0
실리카,22,22,1.0
다이메티콘,22,22,1.0
글리세린-3,21,21,1.0
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,21,21,1.0
글라이신,21,21,1.0
마카다미아씨오일,21,21,1.0
카카오추출물,21,21,1.0
메틸글루세스-20,21,21,1.0
시트로넬올,21,21,1.0
사이아노코발아민,21,21,1.0
글루코노락톤,21,21,1.0
카프릴릴/카프릴글루코사이드,21,21,1.0
소듐폴리아크릴로일다이메틸타우레이트,21,21,1.0
페룰릭애씨드,20,20,1.0
카페인,20,20,1.0
카퍼트라이펩타이드-1,20,20,1.0
락토바실러스발효용해물,20,20,1.0
폴리아크릴레이트크로스폴리머-6,20,20,1.0
제라니올,20,20,1.0
아이비고드열매추출물,20,20,1.0
변성알코올,19,19,1.0
레시틴,19,19,1.0
로즈마리잎오일,19,19,1.0
시어버터,19,19,1.0
병풀잎추출물,19,19,1.0
호호바씨오일,19,19,1.0
솔비탄아이소스테아레이트,18,18,1.0
글리세릴카프릴레이트,18,18,1.0
옥틸도데칸올,18,18,1.0
센티드제라늄꽃오일,18,18,1.0
피브이엠/엠에이코폴리머,18,18,1.0
팔미토일트라이펩타이드-1,18,18,1.0
만니톨,18,18,1.0
클로렐라 불가리스추출물,17,17,1.0
팔미토일테트라펩타이드-7,17,17,1.0
돌콩오일,17,17,1.0
프룩토오스,17,17,1.0
가지열매추출물,17,17,1.0
라벤더오일,17,17,1.0
녹차추출물,17,17,1.0
팔미틱애씨드,17,17,1.0
올리브오일,17,17,1.0
소듐아스코빌포스페이트,16,16,1.0
살리실릭애씨드,16,16,1.0
오렌지껍질오일,16,16,1.0
폴리글리세릴-3메틸글루코오스다이스테아레이트,16,16,1.0
소듐클로라이드,16,16,1.0
말토덱스트린,16,16,1.0
프롤린,16,16,1.0
폴리솔베이트20,16,16,1.0
하이드로제네이티드폴리아이소부텐,16,16,1.0
하이드롤라이즈드글라이코사미노글리칸,16,16,1.0
세틸에틸헥사노에이트,15,15,1.0
다이소듐포스페이트,15,15,1.0
징크피씨에이,15,15,1.0
폴리쿼터늄-51,15,15,1.0
알라닌,15,15,1.0
락틱애씨드,15,15,1.0
트라넥사믹애씨드,15,15,1.0
글리세릴폴리메타크릴레이트,15,15,1.0
히스티딘,15,15,1.0
세테아릴올리베이트,15,15,1.0
시트랄,15,15,1.0
아이소펜틸다이올,15,15,1.0
아이리쉬모스추출물,15,15,1.0
트라이에틸헥사노인,15,15,1.0
카카오씨추출물,14,14,1.0
바이오틴,14,14,1.0
글리세릴글루코사이드,14,14,1.0
비피다발효용해물,14,14,1.0
치자추출물,14,14,1.0
잇꽃꽃추출물,14,14,1.0
팔미토일펜타펩타이드-4,14,14,1.0
엑토인,14,14,1.0
트레오닌,14,14,1.0
폴리메틸실세스퀴옥세인,14,14,1.0
베르가모트오일,14,14,1.0
솔비탄올리베이트,14,14,1.0
아스파틱애씨드,14,14,1.0
팔미토일트라이펩타이드-5,14,14,1.0
소듐스테아로일글루타메이트,14,14,1.0
락토바실러스/콩발효추출물,14,14,1.0
알파-알부틴,13,13,1.0
셀룰로오스검,13,13,1.0
류신,13,13,1.0
자일리틸글루코사이드,13,13,1.0
페닐알라닌,13,13,1.0
라이신,13,13,1.0
메티오닌,13,13,1.0
폴리글루타믹애씨드,13,13,1.0
벤질글라이콜,13,13,1.0
피토스핑고신,13,13,1.0
솔비톨,13,13,1.0
아이소류신,13,13,1.0
발린,13,13,1.0
시스테인,12,12,1.0
타이로신,12,12,1.0
쇠비름추출물,12,12,1.0
모란뿌리추출물,12,12,1.0
데실글루코사이드,12,12,1.0
소듐락테이트,12,12,1.0
다마스크장미꽃수,12,12,1.0
하이드로제네이티드폴리데센,12,12,1.0
비닐다이메티콘,12,12,1.0
풀루란,12,12,1.0
아세틸글루코사민,12,12,1.0
메틸트라이메티콘,12,12,1.0
유채스테롤,12,12,1.0
하이드록시프로필사이클로덱스트린,12,12,1.0
바이오사카라이드검-1,12,12,1.0
"2,3-부탄다이올",12,12,1.0
피토스테롤,12,12,1.0
콜라겐,12,12,1.0
옥틸도데세스-16,12,12,1.0
무화과추출물,12,12,1.0
하이드롤라이즈드엘라스틴,11,11,1.0
글리세릴스테아레이트시트레이트,11,11,1.0
에탄올,11,11,1.0
안하이드로자일리톨,11,11,1.0
소듐하이드록사이드,11,11,1.0
흰버드나무껍질추출물,11,11,1.0
포트마리골드꽃추출물,11,11,1.0
라임전초오일,11,11,1.0
쑥잎추출물,11,11,1.0
다이페닐다이메티콘,11,11,1.0
멕시칸주니퍼오일,11,11,1.0
다시마추출물,11,11,1.0
수용성콜라겐,11,11,1.0
하이드록시에틸우레아,11,11,1.0
사탕수수추출물,11,11,1.0
알부틴,11,11,1.0
카프릴로일살리실릭애씨드,11,11,1.0
베헤닐알코올,11,11,1.0
프로필렌글라이콜,11,11,1.0
아스코빌글루코사이드,11,11,1.0
레티놀,10,10,1.0
트라이소듐이디티에이,10,10,1.0
비사보롤,10,10,1.0
참마뿌리추출물,10,10,1.0
포타슘솔베이트,10,10,1.0
다마스크장미꽃오일,10,10,1.0
프로폴리스추출물,10,10,1.0
솔비탄올리에이트,10,10,1.0
당근추출물,10,10,1.0
글라이코실트레할로오스,10,10,1.0
폴리솔베이트60,10,10,1.0
에스에이치-올리고펩타이드-1,9,9,1.0
폴리글리세릴-2다이폴리하이드록시스테아레이트,9,9,1.0
마트리카리아꽃추출물,9,9,1.0
지모뿌리추출물,9,9,1.0
한련초잎추출물,9,9,1.0
세라마이드에이피,9,9,1.0
류코노스톡/무발효여과물,9,9,1.0
트라이펩타이드-1,9,9,1.0
티트리잎추출물,9,9,1.0
소듐벤조에이트,9,9,1.0
젤란검,9,9,1.0
덱스트란,9,9,1.0
글라이코리피드,9,9,1.0
아이소노닐아이소노나노에이트,9,9,1.0
