ingredient_name,purposes
"1,2,6-헥산트라이올",용제
"1,2-부탄다이올",용제
"1,2-헥산다이올",용제
"1,2-헵탄다이올",용제
"1,4-부탄다이올",용제
"1,5-펜탄다이올",용제
"2,3-부탄다이올",용제
"2-브로모-2-나이트로프로판-1,3-디올",보존제
2-아미노부탄올,pH 조정제
2-에틸헥실알,용제
3-메톡시부탄올,용제
3-아미노-2-부탄올,pH 조정제
4-터피네올,향료
4-하이드록시벤조익애씨드,보존제
"5-브로모-5-나이트로-1,3-디옥산",보존제
C1-5알킬갈락토만난,점증제
C10-11아로마틱하이드로카본,용제
C10-11아이소알케인,용제
C10-12아이소알케인,용제
C10-12알케인/사이클로알케인,용제
C10-13아이소알케인,용제
C10-13알케인,용제
C10-14알킬폴리프로판다이올-3미리스테이트,용제
C10-16알킬글루코사이드,유화제
C10-18트라이글리세라이즈,용제
C10-30콜레스테롤/라노스테롤에스터,점증제
C10-40아이소알킬애씨드글리세라이드,유화제
C11-12아이소알케인,용제
C11-13아이소알케인,용제
C11-14아이소알케인,용제
C11-14알케인/사이클로알케인,용제
C11-15Sec-알케스-12,유화제
C11-15알케스-12,유화제
C11-15알케스-15,유화제
C11-15알케스-20,유화제
C11-15알케스-3,유화제
C11-15알케스-5,유화제
C11-15알케스-7,유화제
C11-15알케스-9,유화제
C11-15알케인/사이클로알케인,용제
C12-13알케스-10,유화제
C12-13알케스-10포스페이트,유화제
C12-13알케스-15,유화제
C12-13알케스-2,유화제
C12-13알케스-3,유화제
C12-13알케스-4,유화제
C12-13알케스-5,유화제
C12-13알케스-6,유화제
C12-13알케스-7,유화제
C12-13알케스-9,유화제
C12-13알케인/사이클로알케인,용제
C12-14Sec-알케스-12,유화제
C12-14Sec-알케스-15,유화제
C12-14Sec-알케스-20,유화제
C12-14Sec-알케스-3,유화제
C12-14Sec-알케스-30,유화제
C12-14Sec-알케스-40,유화제
C12-14Sec-알케스-5,유화제
C12-14Sec-알케스-50,유화제
C12-14Sec-알케스-7,유화제
C12-14Sec-알케스-8,유화제
C12-14Sec-알케스-9,유화제
C12-14아이소알케인,용제
C12-14알케스-12,유화제
C12-14알케스-3,유화제
C12-14알케스-7,유화제
C12-14알킬다이아미노에틸글라이신에이치씨엘,유화제
C12-15알케스-10,유화제
C12-15알케스-10포스페이트,유화제
C12-15알케스-11,유화제
C12-15알케스-12,유화제
C12-15알케스-2,유화제
C12-15알케스-2포스페이트,유화제
C12-15알케스-3,유화제
C12-15알케스-3포스페이트,유화제
C12-15알케스-4,유화제
C12-15알케스-5,유화제
C12-15알케스-6포스페이트,유화제
C12-15알케스-7,유화제
C12-15알케스-8포스페이트,유화제
C12-15알케스-9,유화제
C12-15알케스-9포스페이트,유화제
C12-15알케인/사이클로알케인/아로마틱하이드로카본,용제
C12-16알케스-5,유화제
C12-16알케스-6포스페이트,유화제
C12-16알케스-7,유화제
C12-16알케스-9,유화제
C12-16알코올,점증제
C12-18애씨드트라이글리세라이드,용제
C12-20아이소알케인,용제
C12-20알킬글루코사이드,유화제
C12-20애씨드피이지-8에스터,유화제
C13-14아이소알케인,용제
C13-14알케인,용제
C13-15알케인,용제
C13-16아이소알케인,용제
C14-15알케스-11,유화제
C14-15알케스-12,유화제
C14-15알케스-13,유화제
C14-15알케스-4,유화제
C14-15알케스-7,유화제
C14-17알케인,용제
C14-19알케인,용제
C14-20알케인,용제
C14-22알케인,용제
C15-19아이소알케인,용제
C15-19알케인,용제
C15-23알케인,용제
C16-17알킬벤조에이트,용제
C18-21알케인,용제
C18-24아이소알케인,용제
C18-36애씨드글라이콜에스터,유화제
C18-38알킬하이드록시스테아로일스테아레이트,점증제
C18-50아이소알케인,용제
C20-22알케스-30,유화제
C20-22알코올,점증제
C20-22알킬포스페이트,유화제
C20-40아이소알케인,용제
C20-40알케스-10,유화제
C20-40알케스-24,유화제
C20-40알케스-3,유화제
C30-38올레핀/아이소프로필말리에이트/엠에이코폴리머,유화제
C30-50알케스-10,유화제
C30-50알케스-3,유화제
C30-50알코올,점증제
C40-60알케스-10,유화제
C40-60알케스-3,유화제
C40-60알코올,점증제
C6-10알케스-4포스페이트,유화제
C6-12퍼플루오로알킬에탄올,용제
C6-8알킬C3-6알킬글루코사이드다이메티콘,유화제
C7-8아이소알케인,용제
C8-10알케인/사이클로알케인/아로마틱하이드로카본,용제
C8-12애씨드트라이글리세라이드,용제
C8-9아이소알케인,용제
C9-10아로마틱하이드로카본,용제
C9-10알케인/사이클로알케인,용제
C9-11아이소알케인,용제
C9-11알케스-3,유화제
