ingredient_code,ingredient_name,english_name,cas_no,old_name
24235,3-아미노-2-부탄올,3-Amino-2-Butanol,42551-55-3,
24088,실버버취목부추출물,Betula Pendula Wood Extract,,
24006,아미노메틸아이소부탄올,Amino Methylisobutanol,13325-14-9,
23527,이타코닉애씨드,Itaconic Acid,97-65-4,
22968,클로로아세틱애씨드,Chloroacetic Acid,79-11-8,
22739,키위/육계나무껍질/파인애플/(레몬/사과)펄프/껍질/수크로오스발효여과물,,,
22593,다이메틸글루카민,Dimethylglucamine,76326-99-3,
22567,커피콩/감초뿌리/드럼스틱잎/줄기초/사과초발효여과물,,,커피콩/감초뿌리/드럼스틱잎/줄기초/사과나무열매초발효여과물
22548,경옥가루,Jadeite Powder,,
22514,나이트릭애씨드,Nitric Acid,7697-37-2,
22169,에틸렌다이아민다이말리에이트,,57956-99-7,
21874,에스-디엔에이압타머-2,S-DNA Aptamer-2,2145134-87-6,
18848,제라닉애씨드,Geranic acid,459-80-3,
18754,에스-디엔에이압타머-1,s-DNA Aptamer-1,2142075-59-8,
18611,알루미늄하이드록사이드옥사이드,Aluminum Hydroxide Oxide,11139-78-9,
18120,징크마그네슘아스파테이트,Zinc Magnesium Aspartate,,
18111,캄포마네시아 리네아티폴리아열매추출물,Campomanesia Lineatifolia Fruit Extract,,
18015,징크카보네이트하이드록사이드,Zinc Carbonate Hydroxide,,
17714,소듐칼슘카퍼포스페이트,Sodium Calcium Copper Phosphate,,
17630,렙토퀼린드루스 다니쿠스추출물,Leptocylindrus Danicus Extract,,
17013,닥튈리오솔렌 프라길리씨무스추출물,Dactyliosolen Fragilissimus Extract,,
16929,눈꽃동충하초/포도/오이즙추출물발효여과물,Paecilomyces Japonica/Grape/Cucumber Juice Extract Ferment Filtrate,,
16807,아스테리오넬롭시스 글라키알리스추출물,Asterionellopsis Glacialis Extract,,
16772,카이토케로스 콘스트릭투스/데빌리스/데키피엔스/라키니오수스/소키알리스추출물,Chaetoceros Constrictus/Debilis/Decipiens/Laciniosus/Socialis Extract,,
16396,디튈룸 브리그트웰리이추출물,Ditylum Brightwellii Extract,,
16151,데토눌라 푸밀라추출물,Detonula Pumila Extract,,
15915,메톡시피이지-100/폴리엡실론카프로락톤팔미테이트,Methoxy PEG-100/Polyepsilon Caprolactone Palmitate,,
15885,메톡시피이지-100/폴리엡실론카프로락톤에틸헥사노에이트,Methoxy PEG-100/Polyepsilon Caprolactone Ethylhexanoate,,
15868,소듐칼슘보론포스페이트,Sodium Calcium Boron Phosphate,,
15335,가르시니아열매껍질추출물,Garcinia Cambogia Peel Extract,,빌라티암리껍질추출물
15125,소듐칼슘징크포스페이트,Sodium Calcium Zinc Phosphate,,
14795,클레이미네랄,Clay Minerals,,
14397,리보닉애씨드,Ribonic Acid,17812-24-7,
14386,메틸에탄올아민,Methylethanolamine,109-83-1,
14305,다이소듐푸마레이트,Disodium Fumarate,17013-01-3,
