ingredient_code,ingredient_name,english_name,cas_no,old_name
24317,이미다졸릴메틸피롤로피페라진다이온,Imidazolylmethyl Pyrrolopiperazinedione,2254826-95-2,
21407,포타슘설파이트,Potassium Sulfite,10117-38-1 23873-77-0,
21405,포타슘살리실레이트,Potassium Salicylate,578-36-9,
21020,칼슘살리실레이트,Calcium Salicylate,824-35-1,
20863,엠이에이-살리실레이트,MEA-Salicylate,59866-70-5,엠이에이-살리크릴레이트
20763,암모늄설파이트,Ammonium Sulfite,10196-04-0,
18532,클로헥시딘,Chlorhexidine,55-56-1,
18034,벤질헤미포름알,Benzylhemiformal,14548-60-8,
17873,아이소프로필크레솔,Isopropyl Cresols,,
14909,클로로펜,Chlorophene,120-32-1,
14268,마그네슘프로피오네이트,Magnesium Propionate,557-27-7,
14076,p-클로로-m-크레졸,p-Chloro-m-Cresol,59-50-7,
13964,헥세티딘,Hexetidine,141-94-6,
13960,헥사미딘파라벤,Hexamidine Paraben,93841-83-9,
13959,헥사미딘다이파라벤,Hexamidine Diparaben,,
13958,헥사미딘,Hexamidine,3811-75-4,
13943,엠이에이-운데실레네이트,MEA-Undecylenate,56532-40-2,
13937,암모늄벤조에이트,Ammonium Benzoate,1863-63-4,
13923,엠이에이o-페닐페네이트,MEA o-Phenylphenate,84145-04-0,
13746,탈로우알코늄클로라이드,Tallowalkonium Chloride,61789-75-1,
13737,칼슘파라벤,Calcium Paraben,69959-44-0,
13732,티이에이-운데실레네이트,TEA-Undecylenate,,
13723,티이에이-솔베이트,TEA-Sorbate,,
13712,클로헥시딘다이아세테이트,Chlorhexidine Diacetate,56-95-1,
13707,칼슘운데실레네이트,Calcium Undecylenate,1322-14-1,
13705,칼슘솔베이트,Calcium Sorbate,7492-55-9,
13589,코코트라이모늄클로라이드,Cocotrimonium Chloride,61789-18-2,
13581,징크보레이트,Zinc Borate,10192-46-8 1332-07-6,
13484,암모늄프로피오네이트,Ammonium Propionate,17496-08-1,
13377,칼슘벤조에이트,Calcium Benzoate,2090-05-3,
12545,마그네슘벤조에이트,Magnesium Benzoate,553-70-8,
12538,엠이에이-벤조에이트,MEA-Benzoate,33545-23-2 4337-66-0,
12189,페닐벤조에이트,Phenyl Benzoate,93-99-2,
11869,벤잘코늄사카리네이트,Benzalkonium Saccharinate,39387-42-3,
11868,벤잘코늄브로마이드,Benzalkonium Bromide,91080-29-4,
11573,소듐파라벤,Sodium Paraben,114-63-6 85080-04-2,
11443,소듐아이소프로필파라벤,Sodium Isopropylparaben,,
11355,세탈코늄클로라이드,Cetalkonium Chloride,122-18-9,
11294,부틸벤조에이트,Butyl Benzoate,136-60-7,
11228,포타슘프로필파라벤,Potassium Propylparaben,84930-16-5,
11227,포타슘프로피오네이트,Potassium Propionate,327-62-8,
11224,포타슘파라벤,Potassium Paraben,16782-08-4,
11188,포타슘운데실레네이트,Potassium Undecylenate,6159-41-7,
11186,포타슘에틸파라벤,Potassium Ethylparaben,36457-19-9,
11179,포타슘부틸파라벤,Potassium Butylparaben,38566-94-8,
11176,포타슘메틸파라벤,Potassium Methylparaben,26112-07-2,
11124,포타슘o-페닐페네이트,Potassium o-Phenylphenate,13707-65-8,
10492,소듐프로피오네이트,Sodium Propionate,137-40-6,
9279,에칠라우로일알지네이트하이드로클로라이드,Ethyl Lauroyl Arginate HCl,60372-77-2,에틸라우로일알지네이트에이치씨엘
7441,포타슘벤조에이트,Potassium Benzoate,582-25-2,
6873,o-페닐페놀,o-Phenylphenol,90-43-7,
6761,포믹애씨드,Formic Acid,64-18-6,
6301,클로라민T,Chloramine T,127-65-1,
6283,4-하이드록시벤조익애씨드,4-Hydroxybenzoic Acid,99-96-7,
6192,글루타랄,Glutaral,111-30-8,글루탈알
6164,다이클로로벤질알코올,Dichlorobenzyl Alcohol,12041-76-8 1777-82-8,디클로로벤질알코올
5966,브로모클로로펜,Bromochlorophene,15435-29-7,
5964,소듐솔베이트,Sodium Sorbate,7757-81-5,소듐소르베이트
5855,페녹시이소프로판올,Phenoxyisopropanol,770-35-4,
5398,라우트라이모늄클로라이드,Laurtrimonium Chloride,112-00-5,라우트리모늄클로라이드
5329,라우랄코늄클로라이드,Lauralkonium Chloride,139-07-1,
5188,디엠디엠하이단토인,DMDM Hydantoin,6440-58-0,
5153,디아졸리디닐우레아,Diazolidinyl Urea,78491-02-8,
4994,디메칠옥사졸리딘,Dimethyl Oxazolidine,51200-87-4,"4,4-디메칠-1,3-옥사졸리딘"
4870,헥사미딘다이이세티오네이트,Hexamidine Diisethionate,659-40-5,헥사미딘디이세치오네이트
4610,하이드로제네이티드팜트라이모늄클로라이드,Hydrogenated Palmtrimonium Chloride,,하이드로제네이티드팜트리모늄클로라이드
4049,피록톤올아민,Piroctone Olamine,68890-66-4,
4018,프로필파라벤,Propylparaben,94-13-3,
3990,프로피오닉애씨드,Propionic Acid,79-09-4,
3873,폴리아미노프로필바이구아나이드,Polyaminopropyl Biguanide,32289-58-0 133029-32-0,
3721,데하이드로아세틱애씨드,Dehydroacetic Acid,16807-48-0 520-45-6 771-03-9,
3679,포타슘솔베이트,Potassium Sorbate,24634-61-5 590-00-1,포타슘소르베이트
3579,페녹시에탄올,Phenoxyethanol,122-99-6,
3410,트리클로카반,Triclocarban,101-20-2 1322-40-3,
3409,트리클로산,Triclosan,3380-34-5,
3247,탈로우트라이모늄클로라이드,Tallowtrimonium Chloride,8030-78-2,탈로우트리모늄클로라이드
3210,클림바졸,Climbazole,38083-17-9,
3206,클로헥시딘다이글루코네이트,Chlorhexidine Digluconate,18472-51-0,클로헥시딘디글루코네이트
3205,클로페네신,Chlorphenesin,104-29-0,
3194,클로로자일레놀,Chloroxylenol,88-04-0 1321-23-9,
3193,클로로부탄올,Chlorobutanol,57-15-8,
3137,쿼터늄-15,Quaternium-15,4080-31-3 51229-78-8,
2970,칼슘프로피오네이트,Calcium Propionate,4075-81-4,
2783,징크피리치온,Zinc Pyrithione,13463-41-7,
2773,징크살리실레이트,Zinc Salicylate,16283-36-6,
2542,아이소프로필파라벤,Isopropylparaben,4191-73-5,이소프로필파라벤
2463,아이소부틸파라벤,Isobutylparaben,4247-02-3,이소부틸파라벤
2434,이미다졸리디닐우레아,Imidazolidinyl Urea,39236-46-9,
2354,운데실레닉애씨드,Undecylenic Acid,112-38-9 1333-28-4,
2112,엠디엠하이단토인,MDM Hydantoin,116-25-6 16228-00-5 27636-82-4,
2068,에틸파라벤,Ethylparaben,120-47-8,에칠파라벤
1749,아이오도프로피닐부틸카바메이트,Iodopropynyl Butylcarbamate,55406-53-6,
1480,스테아트라이모늄클로라이드,Steartrimonium Chloride,112-03-8,스테아트리모늄클로라이드
1479,스테아트라이모늄브로마이드,Steartrimonium Bromide,,스테아트리모늄브로마이드
1312,소이트라이모늄클로라이드,Soytrimonium Chloride,61790-41-8,소이트리모늄클로라이드
1299,소르빅애씨드,Sorbic Acid,110-44-1,
1256,소듐프로필파라벤,Sodium Propylparaben,35285-69-9,
1245,소듐포메이트,Sodium Formate,141-53-7,
1244,소듐o-페닐페네이트,Sodium o-Phenylphenate,132-27-4,
1178,소듐아이소부틸파라벤,Sodium Isobutylparaben,84930-15-4,소듐이소부틸파라벤
1166,소듐에틸파라벤,Sodium Ethylparaben,35285-68-8,소듐에칠파라벤
1123,소듐살리실레이트,Sodium Salicylate,54-21-7,
1120,소듐부틸파라벤,Sodium Butylparaben,36457-20-2,
1119,소듐보레이트,Sodium Borate,1303-96-4(Hydrous) 1330-43-4,
1116,소듐벤조에이트,Sodium Benzoate,532-32-1,
1097,소듐메틸파라벤,Sodium Methylparaben,5026-62-0,소듐메칠파라벤
1042,소듐데하이드로아세테이트,Sodium Dehydroacetate,4418-26-2,
985,세트리모늄클로라이드,Cetrimonium Chloride,112-02-7,
984,세트리모늄브로마이드,Cetrimonium Bromide,57-09-0,
978,세테아트라이모늄클로라이드,Ceteartrimonium Chloride,,세테아트리모늄클로라이드
812,살리실릭애씨드,Salicylic Acid,69-72-7,
760,o-사이멘-5-올,o-Cymen-5-ol,3228-02-02 39660-61-2,
631,"2-브로모-2-나이트로프로판-1,3-디올","2-Bromo-2-Nitropropane-1,3-Diol",52-51-7,브로노폴
630,"5-브로모-5-나이트로-1,3-디옥산","5-Bromo-5-Nitro-1,3-Dioxane",30007-47-7,
607,부틸파라벤,Butylparaben,94-26-8,
527,벤질알코올,Benzyl Alcohol,100-51-6,
506,벤조익애씨드,Benzoic Acid,65-85-0,
503,벤제토늄클로라이드,Benzethonium Chloride,121-54-0,
502,벤잘코늄클로라이드,Benzalkonium Chloride,61789-71-7 68391-01-5 68424-85-1 8001-54-5 85409-22-9,
501,베헨트라이모늄클로라이드,Behentrimonium Chloride,17301-53-0,베헨트리모늄클로라이드
323,미르트라이모늄브로마이드,Myrtrimonium Bromide,1119-97-7,미르트리모늄브로마이드
229,메텐아민,Methenamine,100-97-0,
213,메틸파라벤,Methylparaben,99-76-3,메칠파라벤
210,메칠클로로이소치아졸리논,Methylchloroisothiazolinone,26172-55-4,
206,메칠이소치아졸리논,Methylisothiazolinone,2682-20-4,
44,마그네슘살리실레이트,Magnesium Salicylate,551-37-1 18917-89-0,
