ingredient_code,ingredient_name,english_name,cas_no,old_name
24617,폴리프로판다이올-4,Polypropanediol-4,2396-61-4 31714-45-1 (generic) 345260-48-2,
24604,C10-14알킬폴리프로판다이올-3미리스테이트,C10-14 Alkyl Polypropanediol-3 Myristate,2907767-86-4,
24602,C15-19아이소알케인,C15-19 Isoalkane,1437281-01-0,
24597,쑥부쟁이추출물,Aster Yomena Extract,,
24461,팔미토일트라이펩타이드-132에이치씨엘,Palmitoyl Tripeptide-132 HCl,,
24456,다이아이소아밀석시네이트,Diisoamyl Succinate,818-04-2,
24331,C18-50아이소알케인,C18-50 Isoalkane,848301-69-9,
24127,캐스터오일프로판다이올에스터즈,Castor Oil Propanediol Esters,1296811-16-9,
24028,인체제대와튼젤리중간엽줄기세포배양액,Human Umbilical Wharton's Jelly Mesenchymal Stem Cell Conditioned Media,,
23929,폴리글리세릴-3베타이네이트말레이트,Polyglyceryl-3 Betainate Malate,,
23857,메틸헵틸펠라고네이트,Methylheptyl Pelargonate,94248-79-0,
23846,실크수,Silk Water,,
23367,프로필렌글라이콜다이헵타노에이트,Propylene Glycol Diheptanoate,56519-68-7,
23242,비타민나무열매수,Hippophae Rhamnoides Fruit Water,,
22906,"1,2-헵탄다이올","1,2-Heptanediol",3710-31-4,
22615,"폴리(1,2-부탄다이올)-6프로필렌글라이콜","Poly(1,2-Butanediol)-6 Propylene Glycol",31923-86-1,
22514,나이트릭애씨드,Nitric Acid,7697-37-2,
21898,피이지/피피지-15/15아세테이트,PEG/PPG-15/15 Acetate,,
21896,시스테아민티오글라이콜레이트,Cysteamine Thioglycolate,2368928-49-6,
21833,아메리카시나몬잎오일,Ocotea Quixos Leaf Oil,1130740-97-4,
18956,자일릴페닐에탄,Xylyl Phenylethane,6196-95-8,
18551,옥틸도데실메톡시크릴렌,Octyldodecyl Methoxycrylene,1558950-52-9,
18460,클로로트라이플루오로프로펜,Chlorotrifluoropropene,102687-65-0,
18306,사이클로헥세인,Cyclohexane,110-82-7,
18238,무스텔릭/팔미틱트라이글리세라이드,Mustelic/Palmitic Triglyceride,,
18234,변성알코올1,SD Alcohol 1,8048-19-9,
18208,피이지/피피지-19/21코폴리머,PEG/PPG-19/21 Copolymer,,
18090,변성알코올19,CD Alcohol 19,,
18079,귀리씨수,Avena Sativa (Oat) Seed Water,,
18058,글리세레스-7락테이트,Glycereth-7 Lactate,,
17855,벤질라우레이트/미리스테이트/팔미테이트,Benzyl Laurate/Myristate/Palmitate,,
17620,C10-12아이소알케인,C10-12 Isoalkane,,C10-12아이소파라핀
17568,헥실아세테이트,Hexyl Acetate,142-92-7,
17530,퍼플루오로퍼하이드로벤질테트랄린,Perfluoroperhydrobenzyl Tetralin,116265-66-8,
17427,옥텐,Octene,111-66-0,
17364,C11-15알케인/사이클로알케인,C11-15 Alkane/Cycloalkane,64742-47-8,
17157,C9-12알케인,C9-12 Alkane,,
16868,삼나무껍질추출물,Cryptomeria Japonica Bark Extract,91771-60-7(generic),
16752,피피지-6,PPG-6,25322-69-4(generic),
16658,피이지/피피지-8/55코폴리머,PEG/PPG-8/55 Copolymer,,
16542,피이지/피피지-10/30코폴리머,PEG/PPG-10/30 Copolymer,,
16323,데센,Decene,872-05-9,
15793,C14-19알케인,C14-19 Alkane,64741-76-0,
15761,헥센,Hexene,592-41-6,
15712,변성알코올40-A,SD Alcohol 40-A,,
15683,C16-17알킬벤조에이트,C16-17 Alkyl Benzoate,,
15492,변성알코올38-B,SD Alcohol 38-B,,
14870,C10-13알케인,C10-13 Alkane,129813-66-7,
14765,하이드로제네이티드폴리도데센,Hydrogenated Polydodecene,,
14760,테트라데실프로피오네이트,Tetradecylpropionates,,
14639,사이클로헥산온,Cyclohexanone,108-94-1,
14599,피이지/피피지-200/40코폴리머,PEG/PPG-200/40 Copolymer,,
14555,C6-12퍼플루오로알킬에탄올,C6-12 Perfluoroalkylethanol,,
14548,C14-17알케인,C14-17 Alkane,64741-76-0,
14497,C12-20아이소알케인,C12-20 Isoalkane,64742-46-7,C12-20아이소파라핀
14449,다이트라이데실아디페이트,Ditridecyl Adipate,16958-92-2,
14432,3-메톡시부탄올,3-Methoxybutanol,2517-43-3,
14421,"1,5-펜탄다이올","1,5-Pentanediol",111-29-5,
14420,"1,4-부탄다이올","1,4-Butanediol",110-63-4,
14418,"1,2-부탄다이올","1,2-Butanediol",584-03-2,
14409,메톡시피이지-7,Methoxy PEG-7,9004-74-4(generic),
14385,메틸알코올,Methyl Alcohol,67-56-1,메탄올
14377,다이에틸석시네이트,Diethyl Succinate,123-25-1,
14361,다이아이소프로필옥살레이트,Diisopropyl Oxalate,615-81-6,
14360,다이아이소옥틸아디페이트,Diisooctyl Adipate,108-63-4,
14359,다이아이소아밀말레이트,Diisoamyl Malate,1587-19-5,
14288,다이헥실아디페이트,Dihexyl Adipate,110-33-8,
14226,마그네슘티오글라이콜레이트,Magnesium Thioglycolate,63592-16-5,
14163,다이메틸프탈레이트,Dimethyl Phthalate,131-11-3,
14154,다이메틸석시네이트,Dimethyl Succinate,106-65-0,
14072,C9-13아이소알케인,C9-13 Isoalkane,,C9-13아이소파라핀
14067,하이드로제네이티드파네신,Hydrogenated Farnesene,3891-98-3,
13977,헥실옥시에탄올,Hexyloxyethanol,112-25-4,
13968,헥실알코올,Hexyl Alcohol,111-27-3,
13938,에틸렌카보네이트,Ethylene Carbonate,96-49-1,
13903,에틸글리세린아세탈레불리네이트,Ethyl Glycerin Acetal Levulinate,902272-78-0,
13888,에틸헥실아세테이트,Ethylhexyl Acetate,103-09-3,
13882,에이코세인,Eicosane,112-95-8,
13817,트라이클로로에탄,Trichloroethane,25323-89-1 71-55-6,
13806,퍼플루오로카프릴일브로마이드,Perfluorocaprylyl Bromide,423-55-2,
13787,트라이에틸포스페이트,Triethyl Phosphate,78-40-0,
13676,트라이메틸헥산올,Trimethylhexanol,1331-39-1 3452-97-9,
13673,트라이메틸펜타놀하이드록시에틸에터,Trimethyl Pentanol Hydroxyethyl Ether,68959-25-1,
13617,"트라이메틸-1,3-펜탄다이올","Trimethyl-1,3-Pentanediol",144-19-4,
13503,에틸피롤리돈,Ethyl Pyrrolidone,2687-91-4,
13494,에틸티오글라이콜레이트,Ethyl Thioglycolate,623-51-8,
13423,글리세레스-7다이아이소노나노에이트,Glycereth-7 Diisononanoate,125804-15-1,
13422,글리세레스-7벤조에이트,Glycereth-7 Benzoate,139247-28-2,
13420,글리세레스-20벤조에이트,Glycereth-20 Benzoate,,
13419,글리세레스-18벤조에이트,Glycereth-18 Benzoate,,
13407,메틸아이소부틸글리세롤폼알,Methyl Isobutyl Glycerol Formal,5660-53-7,
13387,데카플루오로펜탄,Decafluoropentane,138495-42-8,
13374,C9-16아이소알케인,C9-16 Isoalkane,,C9-16아이소파라핀
13373,C9-16알케인/사이클로알케인,C9-16 Alkane/Cycloalkane,,
13372,C9-14아이소알케인,C9-14 Isoalkane,,C9-14아이소파라핀
13371,C9-11알케인/사이클로알케인,C9-11 Alkane/Cycloalkane,64742-49-0,
13369,C9-10아로마틱하이드로카본,C9-10 Aromatic Hydrocarbons,64742-95-6 93821-31-9,
13368,C9-10알케인/사이클로알케인,C9-10 Alkane/Cycloalkane,64742-49-0,
13366,C8-10알케인/사이클로알케인/아로마틱하이드로카본,C8-10 Alkane/Cycloalkane/Aromatic Hydrocarbons,64742-82-1,
13356,C20-40아이소알케인,C20-40 Isoalkane,,C20-40아이소파라핀
