ingredient_code,ingredient_name,english_name,cas_no,old_name
24617,폴리프로판다이올-4,Polypropanediol-4,2396-61-4 31714-45-1 (generic) 345260-48-2,
24578,캐스터/올리브오일에스터즈,Castor/Olive Oil Esters,,
24563,칸나비스아미도프로필하이드록시설테인,Cannabisamidopropyl Hydroxysultaine,,
24541,폴리글리세릴-20코코에이트/세바케이트,Polyglyceryl-20 Cocoate/Sebacate,,
24423,다이메틸라우라마이드/미리스타마이드,Dimethyl Lauramide/Myristamide,,
24367,올레스-1,Oleth-1,,
24359,에스알-(폴리펩타이드-168 올리고펩타이드-178),sr-(Polypeptide-168 Oligopeptide-178),,
24313,트라이(폴리글리세릴-3/라우릴)하이드로제네이티드트라이리놀리에이트,Tri(Polyglyceryl-3/Lauryl) Hydrogenated Trilinoleate,2236064-25-6,
24294,아이소스테아릴폴리글리세릴-3다이메티콘,Isostearyl Polyglyceryl-3 Dimethicone,,
24256,다이스테아로일아이소프로필다이모늄메토설페이트,Distearoylisopropyl Dimonium Methosulfate,,
24127,캐스터오일프로판다이올에스터즈,Castor Oil Propanediol Esters,1296811-16-9,
24069,칸디다 봄비콜라/글루코오스/커피콩추출물/유채씨오일발효추출여과물,Candida Bombicola/Glucose/Coffee Seed Extract/Rapeseed Oil Ferment Extract Filtrate,,
24047,폴리글리세릴-3올리에이트/스테아레이트,Polyglyceryl-3 Oleate/Stearate,,
24046,폴리글리세릴-10올리에이트/스테아레이트,Polyglyceryl-10 Oleate/Stearate,,
23950,티엠피라우릴다이메티콘,TMP Lauryl Dimethicone,,
23875,폴리글리세릴-10헵타노에이트,Polyglyceryl-10 Heptanoate,79956-60-8,
23792,폴리글리세릴-10올리에이트/팔미테이트/스테아레이트,Polyglyceryl-10 Oleate/Palmitate/Stearate,67884-82-1,
23632,포타슘커피에이트,Potassium Coffeeate,,
23524,N-올레일하이드록시헥산아마이드,N-Oleyl Hydroxyhexanamide,35428-04-7,
23377,리그닌/셀룰로오스,Lignin/Cellulose,9005-53-2,
23342,다이하이드록시프로필미리스타민,Dihydroxypropyl Myristamine,,
23267,소듐코코일메틸이세티오네이트,Sodium Cocoyl Methyl Isethionate,2244880-58-6,
23240,스테아릴/베헤닐알코올,Stearyl/Behenyl Alcohol,,
22937,아라키딜/베헤닐베타이네이트에실레이트,Arachidyl/Behenyl Betainate Esylate,2759321-35-0,
22936,아라키딜/베헤닐알코올,Arachidyl/Behenyl Alcohol,2759321-35-0,
22920,N-스테아로일세린올,N-Stearoyl Serinol,437984-99-1,
22563,콩소포로리피드,,,
22505,포스파티딜글리세롤,Phosphatidylglycerol,92347-24-5,
22465,다이소듐라우릴글루코사이드하이드록시프로필시트레이트,Disodium Laurylglucosides Hydroxypropyl Citrate,2481100-10-9,
22462,스테아레스-200,Steareth-200,9005-00-9 (generic),
22423,폴리글리세릴-20옥타데카베헤네이트/하이드록시스테아레이트,Polyglyceryl-20 Octadecabehenate/Hydroxystearate,2446030-16-4,
22379,폴리글리세릴-6폴스산달우드씨데이트,Polyglyceryl-6 Ximenia Americana Seedate,,
22322,폴리쿼터늄-88,Polyquaternium-88,1869074-79-2,
22230,하이드롤라이즈드팜소포로리피드,Hydrolyzed Palm Sophorolipids,148409-20-5,
22182,데실폴리글리세릴-3다이메티콘,Decyl Polyglyceryl-3 Dimethicone,2408479-00-3,
22181,폴리글리세릴-3다이메티콘,Polyglyceryl-3 Dimethicone,2408478-98-6,
22090,스위트아몬드오일피이지-8에스터즈,Sweet Almond Oil PEG-8 Esters,,
22044,포도씨오일피이지-8에스터즈,Grape Seed Oil PEG-8 Esters,,
21943,땅콩오일피이지-6에스터,Peanut Oil PEG-6 Esters,68440-49-3,
21900,피이지/피피지-15/15알릴에터아세테이트,PEG/PPG-15/15 Allyl Ether Acetate,56090-69-8 (generic),
21899,피이지/피피지-15/15아세테이트다이메티콘,PEG/PPG-15/15 Acetate Dimethicone,68037-64-9 (generic),
21756,라우라마이드디파,Lauramide DIPA,54914-38-4,
19105,마드후카 롱기폴리아소포로리피드,Madhuca Longifolia Sophorolipids,,
19084,글리세릴테트라하이드로파네실아세테이트,Glyceryl Tetrahydrofarnesylacetate,1313054-01-1,
19072,라우릴피지-다이모늄클로라이드,Lauryl PG-Dimonium Chloride,,
18880,하이드로제네이티드해바라기씨오일글레세릴에스터,Hydrogenated Sunflower Seed Oil Glyceryl Esters,,
18879,하이드로제네이티드해바라기씨오일폴리글레세릴-3에스터,Hydrogenated Sunflower Seed Oil Polyglyceryl-3 Esters,,
18854,아프리코트커넬오일폴리글리세릴-6에스터,Apricot Kernel Oil Polyglyceryl-6 Esters,,
18793,키토산아이소스테아라마이드하이드록시프로필트라이모늄클로라이드,Chitosan Isostearamide Hydroxypropyltrimonium Chloride,,
18752,가티검,Ghatti Gum,9000-28-6,
18678,잇꽃씨오일폴리글리세릴-4에스터즈,Safflower Seed Oil Polyglyceryl-4 Esters,,
18645,피피지-2-아이소데세스-10,PPG-2-Isodeceth-10,155683-77-5(generic),
18553,폴리글리세릴-4올리베이트,Polyglyceryl-4 Olivate,,
18531,선플라워글리세라이즈시트레이트,Sunflower Glycerides Citrate,,
18524,라즈베리씨오일피이지-8에스터즈,Raspberry Seed Oil PEG-8 Esters,,
18503,피이지-10츠바키에이트글리세라이즈,PEG-10 Tsubakiate Glycerides,,피지지-10츠바키에이트글리세라이드
18348,미리스트/팔미타미도부틸구아니딘아세테이트,Myrist/Palmitamidobutyl Guanidine Acetate,,
18342,아이소스테아릴글루코사이드,Isostearyl Glucoside,,
18292,C20-40알케스-3,C20-40 Alketh-3,251553-55-6 97953-22-5 246538-83-0,C20-40파레스-3
18281,징크코코-설페이트,Zinc Coco-Sulfate,22397-58-6,
18262,피피지-2-라우레스-5,PPG-2-Laureth-5,,
18260,피이지-60패션프룻씨글리세라이즈,PEG-60 Passiflora Edulis Seed Glycerides,,피이지-60패션프룻씨글리세라이드
18259,람노리피드,Rhamnolipids,,
18230,폴록사민1504,Poloxamine 1504,11111-34-5(generic),
18215,포타슘베헤노일하이드록시프롤린,Potassium Behenoyl Hydroxyproline,,
18191,폴리글리세릴-4푸니케이트,Polyglyceryl-4 Punicate,,
18155,하이드로제네이티드돌콩폴리글리세라이즈/소이아마이드디이에이,Hydrogenated Soy Polyglycerides/Soyamide DEA,,하이드로제네이티드소이폴리글리세라이드/소이아마이드디이에이
18128,포타슘헴프씨데이트,Potassium Hempseedate,68424-21-5,
18121,카놀라오일글리세라이드,Canola Oil Glyceride,,
18114,피피지-3C12-14Sec-알케스-7,PPG-3 C12-14 Sec-Alketh-7,,피피지-3C12-14Sec-파레스-7
18105,C12-14Sec-알케스-50,C12-14 Sec-Alketh-50,84133-50-6 68131-40-8,C12-14 Sec-파레스-50
18054,피피지-2C12-13알케스-8,PPG-2 C12-13 Alketh-8,,피피지-2C12-13파레스-8
18023,데실테트라데세스-20,Decyltetradeceth-20,,
18011,소듐마카다미아씨데이트,Sodium Macadamiaseedate,,
18002,올레오일에틸글루코사이드,Oleoyl Ethyl Glucoside,,
17987,폴록사민1307,Poloxamine 1307,11111-34-5(generic),
17945,C14-15알케스-4,C14-15 Alketh-4,68951-67-7,C14-15파레스-4
17937,피피지-6C9-11알케스-5,PPG-6 C9-11 Alketh-5,154518-36-2,피피지-6C9-11파레스-5
17928,라이소포스파티딜글리세롤,Lysophosphatidylglycerol,,
17920,피이지-60글리세릴스테아레이트,PEG-60 Glyceryl Stearate,,
17885,폴리글리세릴-10다이미리스테이트,Polyglyceryl-10 Dimyristate,,
17870,포타슘코코쌀아미노산,Potassium Cocoyl Rice Amino Acids,,
17865,C12-14Sec-알케스-20,C12-14 Sec-Alketh-20,84133-50-6 68131-40-8,C12-14 Sec-파레스-20
17846,올레스-45,Oleth-45,9004-98-2(generic),
17810,솔베스-2코코에이트,Sorbeth-2 Cocoate,,
17801,피이지-10폴리다이메틸실록시에틸다이메티콘/비스-비닐다이메티콘크로스폴리머,PEG-10 Polydimethylsiloxyethyl Dimethicone/Bis-Vinyl Dimethicone Crosspolymer,,
17795,아이피디아이/피이지-15코카민코폴리머,IPDI/PEG-15 Cocamine Copolymer,,
17789,다이소듐피이지-8글리세릴카프릴레이트/카프레이트,Disodium PEG-8 Glyceryl Caprylate/Caprate,,
17784,프로필렌글라이콜하이드록시스테아레이트,Propylene Glycol Hydroxystearate,38621-51-1 33907-47-0,
17774,C12-16알케스-5,C12-16 Alketh-5,68551-12-2,C12-16파레스-5
17765,폴리글리세릴-6카프레이트,Polyglyceryl-6 Caprate,,
17759,포타슘덱스트린옥테닐석시네이트,Potassium Dextrin Octenylsuccinate,,
17755,폴리글리세릴-4다이스테아레이트,Polyglyceryl-4 Distearate,,
17752,피이지/피피지-27/27다이메티콘,PEG/PPG-27/27 Dimethicone,68937-55-3(generic),
17747,폴리우레탄-28,Polyurethane-28,,
17738,폴록사민1101,Poloxamine 1101,11111-34-5(generic),
17726,식물성글리세라이즈포스페이트,Vegetable Glycerides Phosphate,,
17694,폴록사머105벤조에이트,Poloxamer 105 Benzoate,,
17683,C20-22알케스-30,C20-22 Alketh-30,,C20-22파레스-30
17659,세스퀴옥틸도데실라우로일글루타메이트,Sesquioctyldodecyl Lauroyl Glutamate,,
17633,아이피디아이/피이지-15소이글리시네이트코폴리머,IPDI/PEG-15 Soy Glycinate Copolymer,,
17631,피이지-3부틸렌글라이콜라우레이트,PEG-3 Butylene Glycol Laurate,,
