ingredient_code,ingredient_name,english_name,cas_no,old_name
6899,마카다미아씨오일/하이드로제네이티드마카다미아씨오일에스터,Macademia Seed Oil /Hydrogenated Macadamia Seed Oil Esters,,
4688,하이드록시프로필스타치포스페이트,Hydroxypropyl Starch Phosphate,113894-92-1 39346-84-4 53124,
4685,하이드록시프로필스타치,Hydroxypropyl Starch,9049-76-7 68584-86-1,
4684,하이드록시프로필셀룰로오스,Hydroxypropylcellulose,9004-64-2,
4671,하이드록시프로필구아,Hydroxypropyl Guar,39421-75-5,
4609,하이드로제네이티드팜커넬오일,Hydrogenated Palm Kernel Oil,68990-82-9 84540-04-5,
4607,하이드로제네이티드팜오일,Hydrogenated Palm Oil,68514-74-9 8033-29-2,
4597,하이드로제네이티드탈로우,Hydrogenated Tallow,8030-12-4,
4589,하이드로제네이티드캐스터오일스테아레이트,Hydrogenated Castor Oil Stearate,,
4574,하이드로제네이티드올리브오일,Hydrogenated Olive Oil,,
4551,하이드로제네이티드마이크로크리스탈린왁스,Hydrogenated Microcrystalline Wax,64742-60-5 92045-76-6,
4550,하이드로제네이티드로진,Hydrogenated Rosin,65997-06-0,
4536,하이드레이티드실리카,Hydrated Silica,10279-57-9 112926-00-8 1343-98-2 (silicic acid) 63231-67-4,
4516,피피지-2코카마이드,PPG-2 Cocamide,,
4439,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,,
4438,피토스테릴이소스테아릴다이머디리놀리에이트,Phytosteryl Isostearyl Dimer Dilinoleate,,
4432,피토스테릴마카다미에이트,Phytosteryl Macadamiate,,피토스테롤마카다미아넛지방산에스터
4285,피이지-150/스테아릴알코올/에스엠디아이코폴리머,PEG-150/Stearyl Alcohol/SMDI Copolymer,,
4211,피이지-4레이프씨드아마이드,PEG-4 Rapeseedamide,,
4108,피이지-90M,PEG-90M,25322-68-3(Generic),
4107,피이지-45M,PEG-45M,25322-68-3(Generic),
4106,피이지-23M,PEG-23M,25322-68-3(Generic),
4104,피이지-14M,PEG-14M,25322-68-3(Generic),
4103,피이지-9M,PEG-9M,25322-68-3(Generic),
4102,피이지-7M,PEG-7M,25322-68-3(Generic),
4101,피이지-5M,PEG-5M,25322-68-3(Generic),
4100,피이지-2M,PEG-2M,25322-68-3(Generic),
4099,피이지-800,PEG-800,25322-68-3(Generic),
4064,피브이엠/엠에이데카디엔크로스폴리머,PVM/MA Decadiene Crosspolymer,145314-10-9,
4010,프로필렌글라이콜알지네이트,Propylene Glycol Alginate,9005-37-2,
3960,폴리프로필렌,Polypropylene,9003-07-0,
3939,폴리쿼터늄-52,Polyquaternium-52,,
3891,폴리에스터-5,Polyester-5,911484-90-7 54590-72-6,
3886,폴리C10-30알킬아크릴레이트,Poly C10-30 Alkyl Acrylate,,
3883,폴리아크릴릭애씨드,Polyacrylic Acid,9003-01-04,
3870,폴리실리콘-17,Polysilicone-17,,
3864,폴리스타이렌,Polystyrene,9003-53-6,
3851,폴리비닐알코올,Polyvinyl Alcohol,9002-89-5 25213-24-5,
3849,폴리비닐부틸알,Polyvinyl Butyral,63148-65-2,
3847,폴리부틸렌테레프탈레이트,Polybutylene Terephthalate,24968-12-5 26062-94-2,
3845,폴리부텐,Polybutene,9003-28-5 9003-29-6,
3823,폴리글리세릴-10폴리리시놀리에이트,Polyglyceryl-10 Polyricinoleate,29894-35-7(Generic),
3820,폴리글리세릴-4폴리리시놀리에이트,Polyglyceryl-4 Polyricinoleate,29894-35-7(Generic),
