ingredient_code,ingredient_name,english_name,cas_no,old_name
7109,카피르라임껍질압착오일,Citrus Hystrix Peel Oil Expressed,91771-50-5,
6274,스페인세이지잎오일,Salvia Lavandulifolia Leaf Oil,,
5059,히솝잎오일,Hyssopus Officinalis Leaf Oil,8006-83-5,
4899,헬리오트로핀,Heliotropine,120-57-0,
4614,하이드로제네이티드폴리데센,Hydrogenated Polydecene,68037-01-4,
4550,하이드로제네이티드로진,Hydrogenated Rosin,65997-06-0,
4483,피피지-38-부테스-37,PPG-38-Buteth-37,9038-95-3(Generic) 9065-63-8(,
4481,피피지-26-부테스-26,PPG-26-Buteth-26,9038-95-3(generic) 9065-63-8(,
4480,피피지-17-부테스-17,PPG-17-Buteth-17,9038-95-3(Generic) 9065-63-8(,
4477,피피지-12-부테스-16,PPG-12-Buteth-16,9038-95-3(Generic) 9065-63-8(,
4476,피피지-7-부테스-10,PPG-7-Buteth-10,9038-95-3(Generic) 9065-63-8(,
4411,피이지-200하이드로제네이티드캐스터오일,PEG-200 Hydrogenated Castor Oil,61788-85-0(Generic),
4410,피이지-100하이드로제네이티드캐스터오일,PEG-100 Hydrogenated Castor Oil,61788-85-0(Generic),
4409,피이지-80하이드로제네이티드캐스터오일,PEG-80 Hydrogenated Castor Oil,61788-85-0(Generic),
4408,피이지-60하이드로제네이티드캐스터오일,PEG-60 Hydrogenated Castor Oil,61788-85-0(Generic),
4407,피이지-50하이드로제네이티드캐스터오일,PEG-50 Hydrogenated Castor Oil,61788-85-0(Generic),
4405,피이지-30하이드로제네이티드캐스터오일,PEG-30 Hydrogenated Castor Oil,61788-85-0(Generic),
4404,피이지-25하이드로제네이티드캐스터오일,PEG-25 Hydrogenated Castor Oil,61788-85-0(Generic),
4402,피이지-20하이드로제네이티드캐스터오일,PEG-20 Hydrogenated Castor Oil,61788-85-0(Generic),
4401,피이지-16하이드로제네이티드캐스터오일,PEG-16 Hydrogenated Castor Oil,61788-85-0(Generic),
4399,피이지-7하이드로제네이티드캐스터오일,PEG-7 Hydrogenated Castor Oil,61788-85-0(Generic),
4398,피이지-5하이드로제네이티드캐스터오일,PEG-5 Hydrogenated Castor Oil,61788-85-0(Generic),
4046,피나무꽃수,Tilia Cordata Flower Water,,
4019,프롤린,Proline,147-85-3 (L-) 609-36-9 (DL-),
4016,프로필아세테이트,Propyl Acetate,109-60-4,
4010,프로필렌글라이콜알지네이트,Propylene Glycol Alginate,9005-37-2,
4008,프로필렌글라이콜스테아레이트,Propylene Glycol Stearate,142-75-6 1323-39-3,
3991,프로필갈레이트,Propyl Gallate,121-79-9,
3980,프렌치라벤더추출물,Lavandula Stoechas Extract,90063-38-0,
3712,포트마조람꽃오일,Origanum Heracleoticum Flower Oil,,
3640,편백오일,Chamaecyparis Obtusa Oil,91745-97-0(generic),
3610,펜타데카락톤,Pentadecalactone,106-02-5,
3607,페퍼민트잎추출물,Mentha Piperita (Peppermint) Leaf Extract,84082-70-2,
3606,페퍼민트잎수,Mentha Piperita (Peppermint) Leaf Water,84082-70-2,
3605,페퍼민트잎,Mentha Piperita (Peppermint) Leaf,,
3604,페퍼민트오일,Mentha Piperita (Peppermint) Oil,8006-90-4 84082-70-2,
3585,페닐알라닌,Phenylalanine,63-91-2(L-Form) 150-30-1(dl-a,
