ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
글리세린,1081,83,45,115,457,381
소듐하이알루로네이트,395,33,10,47,173,132
나이아신아마이드,341,23,9,16,184,109
토코페롤,334,23,20,21,140,130
다이소듐이디티에이,313,29,12,45,133,94
아데노신,304,23,14,12,148,107
알란토인,238,8,3,34,110,83
하이드롤라이즈드하이알루로닉애씨드,226,20,10,28,82,86
세라마이드엔피,222,15,7,15,87,98
베타인,210,19,8,32,97,54
카프릴릴글라이콜,179,16,5,13,75,70
하이알루로닉애씨드,178,10,8,22,75,63
알지닌,170,15,5,9,86,55
병풀추출물,165,16,8,24,66,51
스쿠알란,160,10,7,6,62,75
베타-글루칸,142,6,5,9,78,44
소듐하이알루로네이트크로스폴리머,136,7,4,15,58,52
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,136,16,0,4,51,65
마데카소사이드,136,16,2,20,48,50
향료,125,8,15,7,48,47
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,111,13,0,7,22,69
아시아티코사이드,110,15,2,11,48,34
소듐아세틸레이티드하이알루로네이트,110,10,4,13,42,41
다이포타슘글리시리제이트,106,2,6,7,48,43
세테아릴올리베이트,103,8,0,2,16,77
마데카식애씨드,101,15,1,10,44,31
하이드록시아세토페논,99,7,7,11,40,34
리날룰,95,9,10,7,42,27
트레할로오스,94,5,3,8,52,26
덱스트린,93,5,1,9,54,24
하이드록시프로필트라이모늄하이알루로네이트,93,4,3,12,42,32
글루코오스,89,9,3,9,29,39
아시아틱애씨드,88,15,1,0,43,29
하이드롤라이즈드소듐하이알루로네이트,87,7,4,12,32,32
해바라기씨오일,84,5,10,5,33,31
인도멀구슬나무잎추출물,82,1,4,3,42,32
소듐파이테이트,79,3,2,5,35,34
인도멀구슬나무꽃추출물,79,1,2,3,43,30
하이드로제네이티드폴리(C6-14올레핀),77,0,0,0,0,77
프룩토올리고사카라이드,76,3,3,5,33,32
시어버터,72,4,0,1,20,47
자일리톨,70,2,6,10,29,23
비닐다이메티콘,68,7,0,1,12,48
울금뿌리추출물,67,0,4,2,35,26
락토바실러스발효물,67,5,3,4,31,24
카퍼트라이펩타이드-1,65,3,6,3,23,30
시트로넬올,65,0,10,3,30,22
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,64,3,1,2,30,28
글리세레스-26,62,4,4,8,34,12
참산호말추출물,62,0,2,2,35,23
홀리바질잎추출물,61,0,2,2,34,23
아세틸헥사펩타이드-8,61,4,3,3,26,25
포타슘하이알루로네이트,60,1,2,10,25,22
소듐스테아로일글루타메이트,59,9,2,3,16,29
제라니올,58,0,9,2,30,17
글루코노락톤,58,10,3,10,22,13
소듐디엔에이,58,1,5,5,28,19
토코페릴아세테이트,55,2,5,0,24,24
글루타티온,54,0,2,1,34,17
하이드록시에틸셀룰로오스,54,2,0,5,28,19
하이드롤라이즈드콜라겐,54,2,2,3,25,22
C14-22알코올,54,9,0,0,10,35
마카다미아씨오일,54,4,1,2,23,24
약모밀추출물,53,3,3,7,26,14
하이드로제네이티드폴리아이소부텐,53,4,0,0,17,32
병풀잎추출물,52,4,2,6,18,22
팔미토일트라이펩타이드-1,51,3,4,2,21,21
팔미토일펜타펩타이드-4,51,3,5,2,17,24
글라이신,51,1,0,4,23,23
글리세릴글루코사이드,50,9,1,7,15,18
글루타믹애씨드,49,0,0,3,28,18
실리카,49,14,0,1,20,14
스페인감초뿌리추출물,46,5,1,4,23,13
말토덱스트린,46,3,3,6,15,19
소듐폴리아크릴로일다이메틸타우레이트,45,4,0,1,20,20
황금추출물,45,4,0,5,23,13
로즈마리잎오일,45,7,1,0,21,16
올리브오일,43,1,0,2,18,22
