건성,민감성,복합성,약건성,지성,트러블성,중성,product_id
4.74,4.89,4.93,4.5,4.89,5.0,,M1
4.82,4.62,4.3,5.0,4.73,5.0,5.0,M2
4.85,4.7,4.84,5.0,4.57,5.0,5.0,M3
4.77,4.57,4.78,,4.64,5.0,5.0,M4
4.45,4.44,4.46,,4.41,3.5,4.71,M5
4.82,4.86,4.84,4.5,4.92,5.0,5.0,M8
5.0,4.95,4.86,5.0,4.88,5.0,3.0,M9
4.56,4.9,4.71,5.0,4.77,4.75,4.5,M10
5.0,5.0,5.0,5.0,5.0,5.0,5.0,M11
4.81,4.76,4.86,,4.82,5.0,5.0,M12
4.56,4.38,4.81,5.0,4.69,4.44,,M13
5.0,4.87,4.74,5.0,4.71,4.67,5.0,M15
4.76,4.46,4.78,5.0,4.64,5.0,5.0,M16
4.64,4.43,4.78,4.67,4.56,4.4,5.0,M17
4.67,4.88,4.68,,4.85,5.0,,M18
4.71,4.75,4.8,4.0,4.68,4.33,5.0,M21
5.0,4.57,4.86,4.0,3.91,4.89,5.0,M23
4.86,4.88,4.72,5.0,4.69,5.0,4.0,M24
4.87,4.68,4.89,,5.0,5.0,5.0,M25
4.88,4.75,4.68,5.0,5.0,4.75,5.0,M27
4.63,4.57,4.83,5.0,4.77,5.0,5.0,M28
4.77,4.89,4.9,5.0,5.0,4.83,5.0,M29
4.88,4.64,4.7,,4.71,3.8,,M36
4.82,4.7,4.72,5.0,4.71,,5.0,M37
4.83,4.77,4.72,,4.78,5.0,,M38
4.65,4.64,4.64,3.67,4.38,5.0,5.0,M40
4.57,4.29,4.61,4.0,4.45,4.0,5.0,M42
4.75,4.83,4.9,4.75,4.71,5.0,5.0,M43
4.63,3.86,4.72,,4.53,3.75,,M45
4.84,4.41,4.51,,4.21,5.0,,M46
4.81,4.79,4.83,,4.9,5.0,5.0,M49
4.85,4.83,4.85,,4.67,4.8,,M51
4.73,4.55,4.22,5.0,5.0,4.7,4.0,M52
5.0,5.0,4.9,5.0,5.0,5.0,5.0,M53
4.95,5.0,4.96,5.0,5.0,5.0,5.0,M55
5.0,4.63,4.91,5.0,5.0,5.0,5.0,M61
4.68,4.71,4.59,5.0,5.0,4.67,5.0,E001
4.97,4.73,4.94,,4.81,5.0,5.0,E002
4.75,4.92,4.6,,4.33,4.33,,E003
4.77,4.79,4.76,5.0,4.88,5.0,5.0,E004
4.56,4.86,4.95,,4.86,4.71,5.0,E005
4.85,4.77,4.94,5.0,4.71,5.0,5.0,E006
4.81,4.94,4.67,5.0,5.0,5.0,5.0,E007
4.83,4.8,4.83,5.0,4.89,4.2,5.0,E008
4.76,4.9,4.94,4.67,4.93,5.0,5.0,E009
4.95,5.0,4.92,,4.89,5.0,5.0,E010
4.95,4.74,4.62,5.0,4.94,4.0,5.0,E011
5.0,5.0,5.0,5.0,4.93,5.0,5.0,E012
4.96,4.93,5.0,5.0,4.95,5.0,5.0,E013
4.95,4.88,4.75,,4.76,4.64,,E014
4.94,4.89,4.85,,4.92,5.0,5.0,E015
4.7,4.78,4.64,4.0,4.69,4.43,4.5,E016
4.93,4.8,4.94,5.0,4.48,4.6,5.0,E017
4.77,3.67,4.75,,4.83,5.0,5.0,E018
4.91,5.0,4.92,5.0,5.0,5.0,5.0,E019
4.95,5.0,4.98,4.5,5.0,5.0,5.0,E020
4.82,4.89,4.89,5.0,4.78,,5.0,E021
4.81,4.87,4.93,5.0,4.8,,4.67,E022
4.96,5.0,5.0,5.0,4.95,5.0,5.0,E023
4.58,4.9,5.0,5.0,5.0,5.0,5.0,E024
4.75,4.78,4.79,4.5,4.62,4.8,5.0,E025
5.0,5.0,5.0,,5.0,5.0,5.0,E026
4.83,4.9,4.93,4.5,4.92,5.0,5.0,E027
4.62,4.58,4.91,5.0,4.9,5.0,5.0,E028
4.82,5.0,4.92,4.5,5.0,4.83,5.0,E029
4.65,4.73,4.69,4.0,4.82,4.25,5.0,E030
4.8,5.0,4.9,4.67,4.92,5.0,5.0,E031
5.0,5.0,5.0,,5.0,5.0,5.0,E032
4.85,4.94,4.92,,4.83,4.62,5.0,E033
4.19,4.67,4.83,5.0,5.0,4.38,4.0,E034
4.5,4.5,4.6,,4.58,4.43,5.0,E035
4.89,4.94,4.87,4.33,4.73,5.0,5.0,E036
4.85,4.95,4.9,5.0,4.78,5.0,5.0,E037
4.92,4.8,4.76,,4.69,4.4,,E038
4.26,4.45,4.67,5.0,4.67,4.88,,E039
5.0,5.0,4.89,,5.0,5.0,5.0,E040
4.81,4.77,4.96,5.0,5.0,5.0,,E041
4.92,4.9,4.69,4.33,4.76,4.75,4.6,E042
4.94,4.71,4.78,4.0,4.83,4.89,5.0,E043
5.0,4.71,4.98,5.0,5.0,4.8,5.0,E044
4.56,4.25,4.73,5.0,4.68,4.62,5.0,E045
4.73,4.67,4.94,,4.71,5.0,5.0,E046
4.96,5.0,5.0,5.0,5.0,4.75,4.75,E047
4.88,4.94,4.87,4.0,4.76,5.0,5.0,E048
4.88,5.0,4.89,5.0,5.0,4.5,4.0,E049
5.0,5.0,4.98,5.0,4.77,5.0,5.0,E050
4.37,4.47,4.77,5.0,4.5,4.8,4.75,E051
4.83,4.86,4.76,5.0,4.67,5.0,4.0,E052
5.0,4.9,4.91,,4.91,4.5,5.0,E053
4.62,4.65,4.4,,4.58,4.88,5.0,E054
4.89,5.0,5.0,5.0,5.0,5.0,5.0,E055
4.75,4.7,4.73,4.75,4.57,5.0,5.0,E056
4.5,4.56,4.78,5.0,4.6,4.62,,E057
4.33,4.21,4.69,4.0,5.0,,5.0,E058
