product_id,category,brand,product_name,product_url
1,크림,에스네이처,[1/16 하루특가/수분광/모공쫀쫀 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156230&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=1
2,크림,피지오겔,[1월 올영픽] 피지오겔 DMT 페이셜 크림 대용량 기획 200ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243672&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=2
3,크림,에스트라,[올영어워즈1등 크림] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+세라-히알 앰플7ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222833&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=3
4,크림,달바,[1월올영픽/더블기획] 달바 비타 토닝 캡슐 크림 55g 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242658&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=4
5,크림,헤브블루,[1+1/단독NEW] 헤브블루 PDRN 컨디션 진정 연어크림 100ml + 100ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241638&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=5
6,크림,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206904&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=6
7,크림,닥터지,[1월 올영픽/속광탄력] 닥터지 블랙 스네일 크림 50ml 1+1 한정 기획 (+20ml 추가 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243167&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=7
8,크림,키엘,키엘 울트라 훼이셜 크림 (28ml 기획/50ml 단품)/오일-프리 젤크림/스틱밤/리페어 베리어 크림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225277&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=8
9,크림,유세린,[1월 올영픽/괄사루틴] 유세린 하이알루론 3X 아이크림 15ml 홈스테틱 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233809&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=9
10,크림,메디큐브,[1월 올영픽/연어캡슐크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획(+4.5g*2매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243434&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=10
